"insect","spinifex","skinks","large skinks","mala","small mammal","kangaroo","echidna","snakes","solanum","bird","goanna","betong","eggs","grass","forb","acacia","tree","misc plant","subshrub","shrub","wama","human","bandicoot","bilby","grub","carnivorous mammal","possum","eagle","bustard","dingo","cat","camel","emu","fox","patchiness","human fire","lightning fire","fire"
2,4,5,1,5,3,0,3,2,4,3,1,5,4,2,1,3,1,0,3,1,1,5,5,5,1,2,5,1,2,2,3,2,1,2,2,1,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3,1,0,4,0,2,5,2,3,1,2,4,0,1,3,4,2,4,5,2,4,4,0,0,0,4,3,0,4,3,3,2,3,4,3,3,4,3,0
