"insect","spinifex","skinks","large skinks","mala","small mammal","kangaroo","echidna","snakes","solanum","bird","goanna","betong","eggs","grass","forb","acacia","tree","misc plant","subshrub","shrub","wama","human","bandicoot","bilby","grub","carnivorous mammal","possum","eagle","bustard","dingo","cat","camel","emu","fox","patchiness","human fire","lightning fire","fire"
466,565,653,253,1000,531,428,492,704,819,375,200,1000,685,590,318,235,292,503,505,506,471,1000,1000,1000,692,180,592,390,396,473,522,251,332,307,424,491,598,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
534,435,347,747,0,469,572,508,296,181,625,800,0,315,410,682,765,708,497,495,494,529,0,0,0,308,820,408,610,604,527,478,749,668,693,576,509,402,0
