"from","to","type"
"fire","misc plant","simplefire"
"fire","forb","simplefire"
"fire","subshrub","simplefire"
"fire","shrub","simplefire"
"fire","grass","simplefire"
"fire","wama","simplefire"
"fire","spinifex","simplefire"
"fire","solanum","simplefire"
"insect","Acacia","predatorprey"
"insect","Tree","predatorprey"
"insect","subshrub","predatorprey"
"insect","wama","predatorprey"
"insect","forb","predatorprey"
"human fire","grass","complexfire"
"human fire","spinifex","complexfire"
"lightning fire","grass","complexfire"
"lightning fire","spinifex","complexfire"
"lightning fire","dingo","complexfire"
"lightning fire","mala","complexfire"
"lightning fire","Bilby","complexfire"
"lightning fire","goanna","complexfire"
"lightning fire","bandicoot","complexfire"
"human","dingo","positive"
"human","solanum","positive"
"grass","mala","positive"
"spinifex","mala","positive"
"grass","goanna","positive"
"spinifex","goanna","positive"
"grass","bandicoot","positive"
"spinifex","bandicoot","positive"
"grass","Bilby","positive"
"spinifex","Bilby","positive"
"grass","small mammal","positive"
"spinifex","small mammal","positive"
"grass","kangaroo","positive"
"spinifex","kangaroo","positive"
"grass","echidna","positive"
"spinifex","echidna","positive"
"grass","possum","positive"
"spinifex","possum","positive"
"grass","cat","positive"
"spinifex","cat","positive"
"grass","large skinks","positive"
"spinifex","large skinks","positive"
"human fire","patchiness","complexpositive"
"lightning fire","patchiness","complexnegative"
"patchiness","mala","complexpositive"
"patchiness","goanna","complexpositive"
"patchiness","bandicoot","complexpositive"
"patchiness","Bilby","complexpositive"
"patchiness","small mammal","complexpositive"
"patchiness","kangaroo","complexpositive"
"patchiness","echidna","complexpositive"
"patchiness","possum","complexpositive"
"patchiness","large skinks","complexpositive"
"patchiness","dingo","complexpositive"
"human","human fire","complexpositive"
"patchiness","lightning fire","complexnegative"
"human fire","Acacia","complexfire"
"human fire","Tree","complexfire"
"human fire","misc plant","complexfire"
"human fire","forb","complexfire"
"human fire","subshrub","complexfire"
"human fire","shrub","complexfire"
"human fire","wama","complexfire"
"human fire","solanum","complexfire"
"lightning fire","Acacia","complexfire"
"lightning fire","Tree","complexfire"
"lightning fire","misc plant","complexfire"
"lightning fire","forb","complexfire"
"lightning fire","subshrub","complexfire"
"lightning fire","shrub","complexfire"
"lightning fire","wama","complexfire"
"lightning fire","solanum","complexfire"
"patchiness","cat","complexnegative"
"patchiness","fox","complexnegative"

