predator,prey,type
Aspidites ramsayii,Oryctolagus cuniculus,predatorprey
Aspidites ramsayii,Pogona minor,predatorprey
Aspidites ramsayii,Pogona minor,predatorprey
Aspidites ramsayii,Pogona vitticeps,predatorprey
Aspidites ramsayii,Pseudechis australis,predatorprey
Aspidites ramsayii,Reptile eggs,predatorprey
Aspidites ramsayii,Taeniopygia guttata,predatorprey
Aspidites ramsayii,Tiliqua multifasciata,predatorprey
Aspidites ramsayii,Tiliqua occipitalis,predatorprey
Aspidites ramsayii,Tiliqua scincoides,predatorprey
Aspidites ramsayii,Varanus acanthurus,predatorprey
Aspidites ramsayii,Varanus gouldii,predatorprey
Aspidites ramsayii,Varanus tristis,predatorprey
Aspidites ramsayii,Melopsittacus undulatus,predatorprey
Aspidites ramsayii,Notoryctes caurinus,predatorprey
Aspidites ramsayii,Ocyphaps lophotes,predatorprey
Aspidites ramsayii,Petrogale lateralis,predatorprey
Aspidites ramsayii,Tachyglossus aculeatus,predatorprey
Bettongia lesueur,Eragrostis eriopoda,predatorprey
Bettongia lesueur,Eragrostis lanipes,predatorprey
Bettongia lesueur,Eragrostis setifolia,predatorprey
Bettongia lesueur,Panicum decompositum,predatorprey
Bettongia lesueur,Plectrachne schinzii,predatorprey
Bettongia lesueur,Ptilotus exaltatus,predatorprey
Bettongia lesueur,Ptilotus macrocephalus,predatorprey
Bettongia lesueur,Ptilotus polystachyus,predatorprey
Bettongia lesueur,Sida calyxhymenia,predatorprey
Bettongia lesueur,Triodia basedownii,predatorprey
Bettongia lesueur,Triodia longiceps,predatorprey
Bettongia lesueur,Triodia pungens,predatorprey
Calyptorhynchus roseicapilla,Acacia acradenia,predatorprey
Calyptorhynchus roseicapilla,Acacia aneura,predatorprey
Calyptorhynchus roseicapilla,Acacia coriacea,predatorprey
Calyptorhynchus roseicapilla,Acacia cowleana,predatorprey
Calyptorhynchus roseicapilla,Acacia cuthbertsoni,predatorprey
Calyptorhynchus roseicapilla,Acacia dictyophleba,predatorprey
Calyptorhynchus roseicapilla,Acacia kempeana,predatorprey
Calyptorhynchus roseicapilla,Acacia ligulata,predatorprey
Calyptorhynchus roseicapilla,Acacia pruinocarpa,predatorprey
Calyptorhynchus roseicapilla,Acacia spondylophylla,predatorprey
Calyptorhynchus roseicapilla,Acacia tetragonophylla,predatorprey
Calyptorhynchus roseicapilla,Allocasuarina decaisneana,predatorprey
Calyptorhynchus roseicapilla,Eucalyptus opaca,predatorprey
Camelus dromedarius,Amyema sp.,predatorprey
Camelus dromedarius,Canthium attenuatum,predatorprey
Camelus dromedarius,Canthium latifolium,predatorprey
Camelus dromedarius,Capparis loranthifolia,predatorprey
Camelus dromedarius,Capparis umbonata,predatorprey
Camelus dromedarius,Cynanchum floribundum,predatorprey
Camelus dromedarius,Dactyloctenium radulans,predatorprey
Camelus dromedarius,Eragrostis eriopoda,predatorprey
Camelus dromedarius,Eragrostis lanipes,predatorprey
Camelus dromedarius,Eragrostis setifolia,predatorprey
Camelus dromedarius,Hakea leucoptera,predatorprey
Camelus dromedarius,Leptosema chambersii,predatorprey
Camelus dromedarius,Panicum decompositum,predatorprey
Camelus dromedarius,Plectrachne schinzii,predatorprey
Camelus dromedarius,Ptilotus polystachyus,predatorprey
Camelus dromedarius,Santalum acuminatum,predatorprey
Camelus dromedarius,Santalum lanceolatum,predatorprey
Camelus dromedarius,Sida calyxhymenia,predatorprey
Camelus dromedarius,Solanum centrale,predatorprey
Camelus dromedarius,Solanum chippendalei,predatorprey
