predator,prey,type
Leggadina forresti,Triodia pungens,predatorprey
Leggadina forresti,Yakirra australiensis,predatorprey
Leiolopisma metallicum,Araneidae,predatorprey
Leiolopisma metallicum,Chilopoda,predatorprey
Leiolopisma metallicum,Chortoicetes terminifera,predatorprey
Leiolopisma metallicum,Coleoptera,predatorprey
Leiolopisma metallicum,Endoxyla cinerea,predatorprey
Leiolopisma metallicum,Endoxyla leucomochla,predatorprey
Leiolopisma metallicum,Lepidoptera,predatorprey
Leiolopisma metallicum,Scorpionida,predatorprey
Leiolopisma metallicum,Trigona sp.,predatorprey
Leiolopisma trilineatum,Araneidae,predatorprey
Leiolopisma trilineatum,Chilopoda,predatorprey
Leiolopisma trilineatum,Chortoicetes terminifera,predatorprey
Leiolopisma trilineatum,Coleoptera,predatorprey
Leiolopisma trilineatum,Endoxyla cinerea,predatorprey
Leiolopisma trilineatum,Endoxyla leucomochla,predatorprey
Leiolopisma trilineatum,Lepidoptera,predatorprey
Leiolopisma trilineatum,Scorpionida,predatorprey
Leiolopisma trilineatum,Trigona sp.,predatorprey
Lerista bougainvillea,Blattodea,predatorprey
Lerista bougainvillea,Coleoptera,predatorprey
Lerista bougainvillea,Formicidae,predatorprey
Lerista bougainvillea,Heteroptera,predatorprey
Lerista bougainvillea,Trigona sp.,predatorprey
Lophognatus gilberti,Blattodea,predatorprey
Lophognatus gilberti,Formicidae,predatorprey
Macropus robustus,Calandrinia polyandra,predatorprey
Macropus robustus,Eragrostis eriopoda,predatorprey
Macropus robustus,Eragrostis lanipes,predatorprey
Macropus robustus,Eragrostis setifolia,predatorprey
Macropus robustus,Plectrachne schinzii,predatorprey
Macropus robustus,Ptilotus exaltatus,predatorprey
Macropus robustus,Ptilotus macrocephalus,predatorprey
Macropus robustus,Ptilotus polystachyus,predatorprey
Macropus robustus,Sida calyxhymenia,predatorprey
Macropus robustus,Thyridolepis multiculmis,predatorprey
Macropus robustus,Triodia basedownii,predatorprey
Macropus robustus,Triodia longiceps,predatorprey
Macropus robustus,Triodia pungens,predatorprey
Macropus rufus,Eragrostis eriopoda,predatorprey
Macropus rufus,Eragrostis lanipes,predatorprey
Macropus rufus,Eragrostis setifolia,predatorprey
Macropus rufus,Panicum decompositum,predatorprey
Macropus rufus,Plectrachne schinzii,predatorprey
Macropus rufus,Ptilotus exaltatus,predatorprey
Macropus rufus,Ptilotus macrocephalus,predatorprey
Macropus rufus,Ptilotus polystachyus,predatorprey
Macropus rufus,Sida calyxhymenia,predatorprey
Macropus rufus,Triodia basedownii,predatorprey
Macropus rufus,Triodia longiceps,predatorprey
Macropus rufus,Triodia pungens,predatorprey
Macrotis lagotis,Araneidae,predatorprey
Macrotis lagotis,Blattodea,predatorprey
Macrotis lagotis,Coleoptera,predatorprey
Macrotis lagotis,Formicidae,predatorprey
Macrotis lagotis,Orthoptera,predatorprey
Melopsittacus undulatus,Acacia acradenia,predatorprey
Melopsittacus undulatus,Acacia aneura,predatorprey
Melopsittacus undulatus,Acacia coriacea,predatorprey
Melopsittacus undulatus,Acacia cowleana,predatorprey
Melopsittacus undulatus,Acacia cuthbertsoni,predatorprey
Melopsittacus undulatus,Acacia dictyophleba,predatorprey
Melopsittacus undulatus,Acacia kempeana,predatorprey
Melopsittacus undulatus,Acacia ligulata,predatorprey
Melopsittacus undulatus,Acacia pruinocarpa,predatorprey
Melopsittacus undulatus,Acacia spondylophylla,predatorprey
Melopsittacus undulatus,Acacia tetragonophylla,predatorprey
Menetia greyii,Blattodea,predatorprey
Menetia greyii,Chilopoda,predatorprey
Menetia greyii,Coleoptera,predatorprey
Menetia greyii,Formicidae,predatorprey
Menetia greyii,Lepidoptera,predatorprey
Menetia greyii,Orthoptera,predatorprey
Moloch horridus,Camponotus inflatus,predatorprey
Moloch horridus,Formicidae,predatorprey
Morethia lineoocellatus,Blattodea,predatorprey
Morethia lineoocellatus,Chilopoda,predatorprey
Morethia lineoocellatus,Coleoptera,predatorprey
Morethia lineoocellatus,Formicidae,predatorprey
Morethia lineoocellatus,Lepidoptera,predatorprey
Morethia lineoocellatus,Orthoptera,predatorprey
Notaden nichollsi,Blattodea,predatorprey
Notaden nichollsi,Camponotus inflatus,predatorprey
Notaden nichollsi,Formicidae,predatorprey
Notomys sp.,Araneidae,predatorprey
Notomys sp.,Blattodea,predatorprey
Notomys sp.,Chilopoda,predatorprey
Notomys sp.,Coleoptera,predatorprey
Notomys sp.,Eragrostis eriopoda,predatorprey
Notomys sp.,Eragrostis lanipes,predatorprey
Notomys sp.,Eragrostis setifolia,predatorprey
Notomys sp.,Lepidoptera,predatorprey
Notomys sp.,Panicum decompositum,predatorprey
Notomys sp.,Plectrachne schinzii,predatorprey
Notomys sp.,Rhyncharrhena linearis,predatorprey
Notomys sp.,Thyridolepis multiculmis,predatorprey
Notomys sp.,Triodia longiceps,predatorprey
Notomys sp.,Triodia pungens,predatorprey
Notomys sp.,Yakirra australiensis,predatorprey
Notoryctes caurinus,Araneidae,predatorprey
Notoryctes caurinus,Blattodea,predatorprey
Notoryctes caurinus,Coleoptera,predatorprey
Notoryctes caurinus,Formicidae,predatorprey
Notoryctes caurinus,Heteroptera,predatorprey
Notoryctes caurinus,Lepidoptera,predatorprey
Notoryctes caurinus,Orthoptera,predatorprey
Notoryctes caurinus,Scorpionida,predatorprey
Notoryctes caurinus,Trigona sp.,predatorprey
Ocyphaps lophotes,Amyema sp.,predatorprey
Ocyphaps lophotes,Araneidae,predatorprey
Ocyphaps lophotes,Blattodea,predatorprey
Ocyphaps lophotes,Canthium attenuatum,predatorprey
Ocyphaps lophotes,Canthium latifolium,predatorprey
Ocyphaps lophotes,Capparis loranthifolia,predatorprey
Ocyphaps lophotes,Capparis umbonata,predatorprey
Ocyphaps lophotes,Chilopoda,predatorprey
Ocyphaps lophotes,Coleoptera,predatorprey
Ocyphaps lophotes,Cynanchum floribundum,predatorprey
Ocyphaps lophotes,Eragrostis eriopoda,predatorprey
Ocyphaps lophotes,Eragrostis lanipes,predatorprey
Ocyphaps lophotes,Eragrostis setifolia,predatorprey
Ocyphaps lophotes,Lepidoptera,predatorprey
Ocyphaps lophotes,Panicum decompositum,predatorprey
Ocyphaps lophotes,Plectrachne schinzii,predatorprey
Ocyphaps lophotes,Rhyncharrhena linearis,predatorprey
Ocyphaps lophotes,Tecticornia verrucosa,predatorprey
Ocyphaps lophotes,Thyridolepis multiculmis,predatorprey
Ocyphaps lophotes,Triodia longiceps,predatorprey
Ocyphaps lophotes,Triodia pungens,predatorprey
Ocyphaps lophotes,Yakirra australiensis,predatorprey
Oedura marmorata,Blattodea,predatorprey
Oedura marmorata,Chilopoda,predatorprey
Oedura marmorata,Coleoptera,predatorprey
Oedura marmorata,Formicidae,predatorprey
Oedura marmorata,Lepidoptera,predatorprey
Oedura marmorata,Menetia greyii,predatorprey
Oedura marmorata,Morethia lineoocellatus,predatorprey
Oedura marmorata,Orthoptera,predatorprey
Oedura marmorata,Tiliqua multifasciata,predatorprey
Oedura marmorata,Tiliqua occipitalis,predatorprey
Oryctolagus cuniculus,Amyema sp.,predatorprey
Oryctolagus cuniculus,Canthium attenuatum,predatorprey
Oryctolagus cuniculus,Canthium latifolium,predatorprey
Oryctolagus cuniculus,Capparis loranthifolia,predatorprey
Oryctolagus cuniculus,Capparis umbonata,predatorprey
Oryctolagus cuniculus,Cynanchum floribundum,predatorprey
Oryctolagus cuniculus,Eragrostis eriopoda,predatorprey
Oryctolagus cuniculus,Eragrostis lanipes,predatorprey
Oryctolagus cuniculus,Eragrostis setifolia,predatorprey
Oryctolagus cuniculus,Panicum decompositum,predatorprey
Oryctolagus cuniculus,Plectrachne schinzii,predatorprey
Oryctolagus cuniculus,Ptilotus exaltatus,predatorprey
Oryctolagus cuniculus,Ptilotus macrocephalus,predatorprey
Oryctolagus cuniculus,Ptilotus polystachyus,predatorprey
Oryctolagus cuniculus,Sida calyxhymenia,predatorprey
Oryctolagus cuniculus,Tecticornia verrucosa,predatorprey
Oryctolagus cuniculus,Triodia basedownii,predatorprey
Oryctolagus cuniculus,Triodia longiceps,predatorprey
Oryctolagus cuniculus,Triodia pungens,predatorprey
Perameles eremiana,Blattodea,predatorprey
Perameles eremiana,Camponotus inflatus,predatorprey
Perameles eremiana,Eragrostis eriopoda,predatorprey
Perameles eremiana,Eragrostis lanipes,predatorprey
Perameles eremiana,Eragrostis setifolia,predatorprey
Perameles eremiana,Formicidae,predatorprey
Perameles eremiana,Panicum decompositum,predatorprey
Perameles eremiana,Plectrachne schinzii,predatorprey
Perameles eremiana,Ptilotus polystachyus,predatorprey
Perameles eremiana,Triodia basedownii,predatorprey
Perameles eremiana,Triodia longiceps,predatorprey
Perameles eremiana,Triodia pungens,predatorprey
Petrogale lateralis,Eragrostis eriopoda,predatorprey
Petrogale lateralis,Eragrostis lanipes,predatorprey
Petrogale lateralis,Eragrostis setifolia,predatorprey
Petrogale lateralis,Panicum decompositum,predatorprey
Petrogale lateralis,Plectrachne schinzii,predatorprey
Petrogale lateralis,Rhyncharrhena linearis,predatorprey
Petrogale lateralis,Thyridolepis multiculmis,predatorprey
Petrogale lateralis,Triodia longiceps,predatorprey
Petrogale lateralis,Triodia pungens,predatorprey
Petrogale lateralis,Yakirra australiensis,predatorprey
Pogona minor,Blattodea,predatorprey
Pogona minor,Camponotus inflatus,predatorprey
Pogona minor,Formicidae,predatorprey
Pogona vitticeps,Blattodea,predatorprey
Pogona vitticeps,Camponotus inflatus,predatorprey
Pogona vitticeps,Formicidae,predatorprey
Pseudechis australis,Amphibolurus burnsi,predatorprey
Pseudechis australis,Ctenotus isolepis,predatorprey
Pseudechis australis,Ctenotus leonhardii,predatorprey
Pseudechis australis,Ctenotus robustus,predatorprey
Pseudechis australis,Ctenotus strauchii,predatorprey
Pseudechis australis,Dasycercus cristicauda,predatorprey
Pseudechis australis,Dasycercus hilleri,predatorprey
Pseudechis australis,Egernia striolata,predatorprey
Pseudechis australis,Hemiergis peronii,predatorprey
Pseudechis australis,Heteronotia binoei,predatorprey
Pseudechis australis,Leggadina forresti,predatorprey
Pseudechis australis,Leiolopisma metallicum,predatorprey
Pseudechis australis,Leiolopisma trilineatum,predatorprey
Pseudechis australis,Notomys sp.,predatorprey
Pseudechis australis,Oedura marmorata,predatorprey
Pseudechis australis,Notoryctes caurinus,predatorprey
Pygopus schraderi,Araneidae,predatorprey
Pygopus schraderi,Blattodea,predatorprey
Pygopus schraderi,Chilopoda,predatorprey
Pygopus schraderi,Coleoptera,predatorprey
Pygopus schraderi,Lepidoptera,predatorprey
Sminthopsis macroura,Araneidae,predatorprey
Sminthopsis macroura,Chilopoda,predatorprey
Sminthopsis macroura,Coleoptera,predatorprey
Stiltia isabella,Araneidae,predatorprey
Stiltia isabella,Blattodea,predatorprey
Stiltia isabella,Chilopoda,predatorprey
Stiltia isabella,Coleoptera,predatorprey
Stiltia isabella,Lepidoptera,predatorprey
Suta suta,Amphibolurus burnsi,predatorprey
Suta suta,Ctenotus isolepis,predatorprey
Suta suta,Ctenotus leonhardii,predatorprey
Suta suta,Ctenotus robustus,predatorprey
Suta suta,Ctenotus strauchii,predatorprey
Suta suta,Dasycercus cristicauda,predatorprey
Suta suta,Dasycercus hilleri,predatorprey
Suta suta,Egernia striolata,predatorprey
Suta suta,Hemiergis peronii,predatorprey
Suta suta,Heteronotia binoei,predatorprey
Suta suta,Leggadina forresti,predatorprey
Suta suta,Leiolopisma metallicum,predatorprey
Suta suta,Leiolopisma trilineatum,predatorprey
Suta suta,Notomys sp.,predatorprey
Suta suta,Oedura marmorata,predatorprey
Suta suta,Notoryctes caurinus,predatorprey
Tachyglossus aculeatus,Blattodea,predatorprey
Tachyglossus aculeatus,Camponotus inflatus,predatorprey
Tachyglossus aculeatus,Formicidae,predatorprey
Taeniopygia guttata,Amyema sp.,predatorprey
Taeniopygia guttata,Canthium attenuatum,predatorprey
Taeniopygia guttata,Canthium latifolium,predatorprey
Taeniopygia guttata,Capparis loranthifolia,predatorprey
Taeniopygia guttata,Capparis umbonata,predatorprey
Taeniopygia guttata,Cynanchum floribundum,predatorprey
Taeniopygia guttata,Eragrostis eriopoda,predatorprey
Taeniopygia guttata,Eragrostis lanipes,predatorprey
Taeniopygia guttata,Eragrostis setifolia,predatorprey
Taeniopygia guttata,Panicum decompositum,predatorprey
Taeniopygia guttata,Plectrachne schinzii,predatorprey
Taeniopygia guttata,Ptilotus exaltatus,predatorprey
Taeniopygia guttata,Ptilotus macrocephalus,predatorprey
Taeniopygia guttata,Ptilotus polystachyus,predatorprey
Taeniopygia guttata,Sida calyxhymenia,predatorprey
Taeniopygia guttata,Tecticornia verrucosa,predatorprey
Taeniopygia guttata,Triodia basedownii,predatorprey
Taeniopygia guttata,Triodia longiceps,predatorprey
Taeniopygia guttata,Triodia pungens,predatorprey
Tiliqua multifasciata,Araneidae,predatorprey
Tiliqua multifasciata,Chilopoda,predatorprey
Tiliqua multifasciata,Chortoicetes terminifera,predatorprey
Tiliqua multifasciata,Coleoptera,predatorprey
Tiliqua multifasciata,Endoxyla cinerea,predatorprey
Tiliqua multifasciata,Endoxyla leucomochla,predatorprey
Tiliqua multifasciata,Lepidoptera,predatorprey
Tiliqua multifasciata,Scorpionida,predatorprey
Tiliqua multifasciata,Trigona sp.,predatorprey
Tiliqua occipitalis,Araneidae,predatorprey
Tiliqua occipitalis,Chilopoda,predatorprey
Tiliqua occipitalis,Chortoicetes terminifera,predatorprey
Tiliqua occipitalis,Coleoptera,predatorprey
Tiliqua occipitalis,Endoxyla cinerea,predatorprey
Tiliqua occipitalis,Endoxyla leucomochla,predatorprey
Tiliqua occipitalis,Lepidoptera,predatorprey
Tiliqua occipitalis,Scorpionida,predatorprey
Tiliqua occipitalis,Trigona sp.,predatorprey
Tiliqua scincoides,Araneidae,predatorprey
Tiliqua scincoides,Chilopoda,predatorprey
Tiliqua scincoides,Chortoicetes terminifera,predatorprey
Tiliqua scincoides,Coleoptera,predatorprey
Tiliqua scincoides,Endoxyla cinerea,predatorprey
Tiliqua scincoides,Endoxyla leucomochla,predatorprey
Tiliqua scincoides,Lepidoptera,predatorprey
Tiliqua scincoides,Scorpionida,predatorprey
Tiliqua scincoides,Trigona sp.,predatorprey
Trichosurus vulpecula,Amyema sp.,predatorprey
Trichosurus vulpecula,Canthium attenuatum,predatorprey
Trichosurus vulpecula,Canthium latifolium,predatorprey
Trichosurus vulpecula,Capparis loranthifolia,predatorprey
Trichosurus vulpecula,Capparis umbonata,predatorprey
Trichosurus vulpecula,Cynanchum floribundum,predatorprey
Trichosurus vulpecula,Eremophila latrobei,predatorprey
Trichosurus vulpecula,Eucalyptus opaca,predatorprey
Trichosurus vulpecula,Ficus brachypoda,predatorprey
Trichosurus vulpecula,Hakea suberea,predatorprey
Trichosurus vulpecula,Leptosema chambersii,predatorprey
Trichosurus vulpecula,Ptilotus exaltatus,predatorprey
Trichosurus vulpecula,Ptilotus macrocephalus,predatorprey
Trichosurus vulpecula,Santalum acuminatum,predatorprey
Trichosurus vulpecula,Santalum lanceolatum,predatorprey
Trichosurus vulpecula,Tecticornia verrucosa,predatorprey
Turnix velox,Eragrostis eriopoda,predatorprey
Turnix velox,Eragrostis lanipes,predatorprey
Turnix velox,Eragrostis setifolia,predatorprey
Turnix velox,Panicum decompositum,predatorprey
Turnix velox,Plectrachne schinzii,predatorprey
Turnix velox,Ptilotus exaltatus,predatorprey
Turnix velox,Ptilotus macrocephalus,predatorprey
Turnix velox,Ptilotus polystachyus,predatorprey
Turnix velox,Sida calyxhymenia,predatorprey
Turnix velox,Triodia basedownii,predatorprey
Turnix velox,Triodia longiceps,predatorprey
Turnix velox,Triodia pungens,predatorprey
Tympanocryptis tetraporophora,Blattodea,predatorprey
Tympanocryptis tetraporophora,Camponotus inflatus,predatorprey
Tympanocryptis tetraporophora,Formicidae,predatorprey
Varanus acanthurus,Araneidae,predatorprey
Varanus acanthurus,Blattodea,predatorprey
Varanus acanthurus,Coleoptera,predatorprey
Varanus acanthurus,Lepidoptera,predatorprey
Varanus acanthurus,Orthoptera,predatorprey
Varanus giganteus,Aprasia striolata,predatorprey
Varanus giganteus,Araneidae,predatorprey
Varanus giganteus,Bird egg shell,predatorprey
Varanus giganteus,Blattodea,predatorprey
Varanus giganteus,Chilopoda,predatorprey
Varanus giganteus,Coleoptera,predatorprey
Varanus giganteus,Hemiergis peronii,predatorprey
Varanus giganteus,Homo sapiens,predatorprey
Varanus giganteus,Leiolopisma metallicum,predatorprey
Varanus giganteus,Leiolopisma trilineatum,predatorprey
Varanus giganteus,Lepidoptera,predatorprey
Varanus giganteus,Lerista bougainvillea,predatorprey
Varanus giganteus,Menetia greyii,predatorprey
Varanus giganteus,Morethia lineoocellatus,predatorprey
Varanus giganteus,Reptile eggs,predatorprey
Varanus giganteus,Scorpionida,predatorprey
Varanus giganteus,Varanus gouldii,predatorprey
Varanus gouldii,Aprasia striolata,predatorprey
Varanus gouldii,Araneidae,predatorprey
Varanus gouldii,Bird egg shell,predatorprey
Varanus gouldii,Blattodea,predatorprey
Varanus gouldii,Chilopoda,predatorprey
Varanus gouldii,Coleoptera,predatorprey
Varanus gouldii,Hemiergis peronii,predatorprey
Varanus gouldii,Homo sapiens,predatorprey
Varanus gouldii,Leiolopisma metallicum,predatorprey
Varanus gouldii,Leiolopisma trilineatum,predatorprey
Varanus gouldii,Lepidoptera,predatorprey
Varanus gouldii,Lerista bougainvillea,predatorprey
Varanus gouldii,Menetia greyii,predatorprey
Varanus gouldii,Morethia lineoocellatus,predatorprey
Varanus gouldii,Reptile eggs,predatorprey
Varanus gouldii,Scorpionida,predatorprey
Varanus gouldii,Varanus gouldii,predatorprey
Varanus panoptes,Aprasia striolata,predatorprey
Varanus panoptes,Araneidae,predatorprey
Varanus panoptes,Bird egg shell,predatorprey
Varanus panoptes,Blattodea,predatorprey
Varanus panoptes,Chilopoda,predatorprey
Varanus panoptes,Coleoptera,predatorprey
Varanus panoptes,Hemiergis peronii,predatorprey
Varanus panoptes,Homo sapiens,predatorprey
Varanus panoptes,Leiolopisma metallicum,predatorprey
Varanus panoptes,Leiolopisma trilineatum,predatorprey
Varanus panoptes,Lepidoptera,predatorprey
Varanus panoptes,Lerista bougainvillea,predatorprey
Varanus panoptes,Menetia greyii,predatorprey
Varanus panoptes,Morethia lineoocellatus,predatorprey
Varanus panoptes,Reptile eggs,predatorprey
Varanus panoptes,Scorpionida,predatorprey
Varanus panoptes,Varanus gouldii,predatorprey
Varanus tristis,Araneidae,predatorprey
Varanus tristis,Blattodea,predatorprey
Varanus tristis,Coleoptera,predatorprey
Varanus tristis,Ctenophorus caudicinctus,predatorprey
Varanus tristis,Ctenotus isolepis,predatorprey
Varanus tristis,Formicidae,predatorprey
Varanus tristis,Lepidoptera,predatorprey
Varanus tristis,Lophognatus gilberti,predatorprey
Varanus tristis,Orthoptera,predatorprey
Varanus tristis,Pogona minor,predatorprey
Varanus tristis,Pogona vitticeps,predatorprey
Vulpes vulpes,Araneidae,predatorprey
Vulpes vulpes,Bird egg shell,predatorprey
Vulpes vulpes,Blattodea,predatorprey
Vulpes vulpes,Coleoptera,predatorprey
Vulpes vulpes,Lepidoptera,predatorprey
Vulpes vulpes,Notomys sp.,predatorprey
Vulpes vulpes,Reptile eggs,predatorprey
Vulpes vulpes,Trichosurus vulpecula,predatorprey
Vulpes vulpes,Aquila audax,predatorprey
Vulpes vulpes,Ardeotis australis,predatorprey
Vulpes vulpes,Trichosurus vulpecula,predatorprey
Vulpes vulpes,Notoryctes caurinus,predatorprey
Aquila audax,Bettongia lesueur,predatorprey
Aquila audax,Canis lupus dingo,predatorprey
Aquila audax,Chaeropus ecaudatus,predatorprey
Aquila audax,Ctenophorus caudicinctus,predatorprey
Aquila audax,Ctenotus isolepis,predatorprey
Aquila audax,Felis catus,predatorprey
Aquila audax,Lagorchestes hirsutus,predatorprey
Aquila audax,Lophognatus gilberti,predatorprey
Aquila audax,Macropus robustus,predatorprey
Aquila audax,Notomys sp.,predatorprey
Aquila audax,Orthoptera,predatorprey
Aquila audax,Perameles eremiana,predatorprey
Aquila audax,Pogona minor,predatorprey
Aquila audax,Pogona vitticeps,predatorprey
Aquila audax,Taeniopygia guttata,predatorprey
Aquila audax,Tiliqua multifasciata,predatorprey
Aquila audax,Tiliqua occipitalis,predatorprey
Aquila audax,Varanus gouldii,predatorprey
Aquila audax,Corvus cecilae,predatorprey
Aquila audax,Falco longipennis,predatorprey
Aquila audax,Fulica atra,predatorprey
Aquila audax,Anas superciliosa,predatorprey
Bettongia lesueur,Eragrostis eriopoda,predatorprey
Bettongia lesueur,Eragrostis lanipes,predatorprey
Bettongia lesueur,Eragrostis setifolia,predatorprey
Bettongia lesueur,Panicum decompositum,predatorprey
Bettongia lesueur,Plectrachne schinzii,predatorprey
Bettongia lesueur,Ptilotus exaltatus,predatorprey
Bettongia lesueur,Ptilotus macrocephalus,predatorprey
Bettongia lesueur,Ptilotus polystachyus,predatorprey
Bettongia lesueur,Sida calyxhymenia,predatorprey
Bettongia lesueur,Triodia basedownii,predatorprey
Bettongia lesueur,Triodia longiceps,predatorprey
Bettongia lesueur,Triodia pungens,predatorprey
Canis lupus dingo,Ardeotis australis,predatorprey
Canis lupus dingo,Bettongia lesueur,predatorprey
Canis lupus dingo,Chaeropus ecaudatus,predatorprey
Canis lupus dingo,Chilopoda,predatorprey
Canis lupus dingo,Coleoptera,predatorprey
Canis lupus dingo,Ctenophorus caudicinctus,predatorprey
Canis lupus dingo,Ctenotus isolepis,predatorprey
Canis lupus dingo,Felis catus,predatorprey
Canis lupus dingo,Homo sapiens,predatorprey
Canis lupus dingo,Lagorchestes hirsutus,predatorprey
Canis lupus dingo,Lophognatus gilberti,predatorprey
Canis lupus dingo,Macropus robustus,predatorprey
Canis lupus dingo,Notomys sp.,predatorprey
Canis lupus dingo,Orthoptera,predatorprey
Canis lupus dingo,Perameles eremiana,predatorprey
Canis lupus dingo,Pogona minor,predatorprey
Canis lupus dingo,Pogona vitticeps,predatorprey
Canis lupus dingo,Tiliqua multifasciata,predatorprey
Canis lupus dingo,Tiliqua occipitalis,predatorprey
Canis lupus dingo,Varanus gouldii,predatorprey
Canis lupus dingo,Aquila audax,predatorprey
Canis lupus dingo,Ardeotis australis,predatorprey
Canis lupus dingo,Camelus dromedarius,predatorprey
Canis lupus dingo,Dromaius novaehollandiae,predatorprey
Canis lupus dingo,Fulica atra,predatorprey
Canis lupus dingo,Vulpes vulpes,predatorprey
Canis lupus dingo,Varanus acanthurus,predatorprey
Canis lupus dingo,Tympanocryptis tetraporophora,predatorprey
Canis lupus dingo,Trichosurus vulpecula,predatorprey
Canis lupus dingo,Isodon auratus,predatorprey
Canis lupus dingo,Macropus rufus,predatorprey
Canis lupus dingo,Notoryctes caurinus,predatorprey
Canis lupus dingo,Petrogale lateralis,predatorprey
Canis lupus dingo,Tachyglossus aculeatus,predatorprey
Felis catus,Amphibolurus burnsi,predatorprey
Felis catus,Ctenotus isolepis,predatorprey
Felis catus,Ctenotus leonhardii,predatorprey
Felis catus,Ctenotus robustus,predatorprey
Felis catus,Egernia striolata,predatorprey
Felis catus,Heteronotia binoei,predatorprey
Felis catus,Lagorchestes hirsutus,predatorprey
Felis catus,Leggadina forresti,predatorprey
Felis catus,Notomys sp.,predatorprey
Felis catus,Oedura marmorata,predatorprey
Felis catus,Pogona vitticeps,predatorprey
Felis catus,Pseudechis australis,predatorprey
Felis catus,Pygopus schraderi,predatorprey
Felis catus,Reptile eggs,predatorprey
Felis catus,Sminthopsis macroura,predatorprey
Felis catus,Stiltia isabella,predatorprey
Felis catus,Suta suta,predatorprey
Felis catus,Taeniopygia guttata,predatorprey
Felis catus,Turnix velox,predatorprey
Felis catus,Tympanocryptis tetraporophora,predatorprey
Felis catus,Varanus gouldii,predatorprey
Felis catus,Ardeotis australis,predatorprey
Felis catus,Corvus cecilae,predatorprey
Felis catus,Fulica atra,predatorprey
Felis catus,Vulpes vulpes,predatorprey
Felis catus,Varanus acanthurus,predatorprey
Felis catus,Tympanocryptis tetraporophora,predatorprey
Felis catus,Trichosurus vulpecula,predatorprey
Felis catus,Melopsittacus undulatus,predatorprey
Felis catus,Notoryctes caurinus,predatorprey
Felis catus,Ocyphaps lophotes,predatorprey
Felis catus,Petrogale lateralis,predatorprey
Felis catus,Tachyglossus aculeatus,predatorprey
Homo sapiens,Acacia acradenia,predatorprey
Homo sapiens,Acacia aneura,predatorprey
Homo sapiens,Acacia coriacea,predatorprey
Homo sapiens,Acacia cowleana,predatorprey
Homo sapiens,Acacia cuthbertsoni,predatorprey
Homo sapiens,Acacia dictyophleba,predatorprey
Homo sapiens,Acacia kempeana,predatorprey
Homo sapiens,Acacia ligulata,predatorprey
Homo sapiens,Acacia pruinocarpa,predatorprey
Homo sapiens,Acacia spondylophylla,predatorprey
Homo sapiens,Acacia tetragonophylla,predatorprey
Homo sapiens,Allocasuarina decaisneana,predatorprey
Homo sapiens,Amyema sp.,predatorprey
Homo sapiens,Anas superciliosa,predatorprey
Homo sapiens,Antaresia stimsoni,predatorprey
Homo sapiens,Aquila audax,predatorprey
Homo sapiens,Ardeotis australis,predatorprey
Homo sapiens,Aspidites melanocephalus,predatorprey
Homo sapiens,Aspidites ramsayii,predatorprey
Homo sapiens,Bettongia lesueur,predatorprey
Homo sapiens,Blattodea,predatorprey
Homo sapiens,Calyptorhynchus roseicapilla,predatorprey
Homo sapiens,Camelus dromedarius,predatorprey
Homo sapiens,Canis lupus dingo,predatorprey
Homo sapiens,Canthium attenuatum,predatorprey
Homo sapiens,Canthium latifolium,predatorprey
Homo sapiens,Capparis loranthifolia,predatorprey
Homo sapiens,Capparis umbonata,predatorprey
Homo sapiens,Chaeropus ecaudatus,predatorprey
Homo sapiens,Chioromyces aboriginum,predatorprey
Homo sapiens,Corvus cecilae,predatorprey
Homo sapiens,Ctenotus isolepis,predatorprey
Homo sapiens,Cucumis melo (agrestis),predatorprey
Homo sapiens,Cynanchum floribundum,predatorprey
Homo sapiens,Dactyloctenium radulans,predatorprey
Homo sapiens,Dasycercus cristicauda,predatorprey
Homo sapiens,Dasycercus hilleri,predatorprey
Homo sapiens,Dasyurus hallucatus,predatorprey
Homo sapiens,Dromaius novaehollandiae,predatorprey
Homo sapiens,Egernia kintorei,predatorprey
Homo sapiens,Egernia striata,predatorprey
Homo sapiens,Enchylaena tomentosa,predatorprey
Homo sapiens,Eucalyptus opaca,predatorprey
Homo sapiens,Falco longipennis,predatorprey
Homo sapiens,Felis catus,predatorprey
Homo sapiens,Fulica atra,predatorprey
Homo sapiens,Hakea leucoptera,predatorprey
Homo sapiens,Hakea suberea,predatorprey
Homo sapiens,Homo sapiens,predatorprey
Homo sapiens,Isodon auratus,predatorprey
Homo sapiens,Lagorchestes hirsutus,predatorprey
Homo sapiens,Macropus robustus,predatorprey
Homo sapiens,Macropus rufus,predatorprey
Homo sapiens,Macrotis lagotis,predatorprey
Homo sapiens,Melopsittacus undulatus,predatorprey
Homo sapiens,Moloch horridus,predatorprey
Homo sapiens,Mycoclelandia bulundarii,predatorprey
Homo sapiens,Notomys sp.,predatorprey
Homo sapiens,Notoryctes caurinus,predatorprey
Homo sapiens,Ocyphaps lophotes,predatorprey
Homo sapiens,Oryctolagus cuniculus,predatorprey
Homo sapiens,Panicum decompositum,predatorprey
Homo sapiens,Perameles eremiana,predatorprey
Homo sapiens,Petrogale lateralis,predatorprey
Homo sapiens,Psylla eucalypti,predatorprey
Homo sapiens,Rhyncharrhena linearis,predatorprey
Homo sapiens,Santalum acuminatum,predatorprey
Homo sapiens,Santalum lanceolatum,predatorprey
Homo sapiens,Senna sp.,predatorprey
Homo sapiens,Solanum centrale,predatorprey
