Source,Target,type,include
goanna,honeyant,predatorprey,1
fox,honeyant,predatorprey,1
eagle,honeyant,predatorprey,1
dingo,honeyant,predatorprey,1
human,honeyant,predatorprey,1
mala,honeyant,predatorprey,1
bilby,honeyant,predatorprey,1
human fire,spinifex,complexfire,4
human fire,grass,complexfire,4
lightning fire,spinifex,complexfire,4
lightning fire,grass,complexfire,4
lightning fire,dingo,complexfire,4
lightning fire,mala,complexfire,4
lightning fire,bilby,complexfire,4
lightning fire,goanna,complexfire,4
lightning fire,bandicoot,complexfire,4
human,dingo,positive,3
human,solanum,positive,3
spinifex,mala,positive,3
spinifex,goanna,positive,3
spinifex,bandicoot,positive,3
spinifex,bilby,positive,3
spinifex,small mammal,positive,3
spinifex,cat,positive,3
spinifex,tiliqua,positive,3
grass,mala,positive,3
grass,goanna,positive,3
grass,bandicoot,positive,3
grass,bilby,positive,3
grass,small mammal,positive,3
grass,cat,positive,3
grass,tiliqua,positive,3
human fire,patchiness,complexpositive,4
lightning fire,patchiness,complexnegative,4
patchiness,mala,complexpositive,4
patchiness,goanna,complexpositive,4
patchiness,bandicoot,complexpositive,4
patchiness,bilby,complexpositive,4
patchiness,small mammal,complexpositive,4
patchiness,cat,complexpositive,4
patchiness,tiliqua,complexpositive,4
patchiness,dingo,complexpositive,4
human,human fire,complexpositive,4
patchiness,lightning fire,complexnegative,4
human fire,Acacia,complexfire,4
human fire,misc_plant,complexfire,4
human fire,forb,complexfire,4
human fire,shrub,complexfire,4
human fire,bush,complexfire,4
human fire,wama,complexfire,4
human fire,solanum,complexfire,4
lightning fire,Acacia,complexfire,4
lightning fire,misc_plant,complexfire,4
lightning fire,forb,complexfire,4
lightning fire,shrub,complexfire,4
lightning fire,bush,complexfire,4
lightning fire,wama,complexfire,4
lightning fire,solanum,complexfire,4
patchiness,cat,complexnegative,4
patchiness,fox,complexnegative,4
