Species	#	Conn	Mod	AicG	*TroG	In	Out	Deg	Pos	Hmin	Hmean	Hmax	TroLev	OI	Clust	Eccen	Rank	CycTime
Ptilotus_exaltatus	152	1	0	0	6	0	10	10	B	0	0	0	1	0	0	4	0.003896	242
Felis_catus	153	1	0	0	5	32	3	35	I	1	7.868	13	3.135	2.237	0.6667	3	0.002476	172
Ardeotis_australis	154	1	0	0	5	35	4	39	I	1	8.186	13	2.783	1.363	0.5	3	0.002658	154.1
Santalum_acuminatum	155	1	0	0	4	0	5	5	B	0	0	0	1	0	0.16	3	0.002634	332.6
Ficus_brachypoda	156	1	0	0	4	0	2	2	B	0	0	0	1	0	0	4	0.002447	416.7
Eremophila_latrobei	157	1	0	0	4	0	3	3	B	0	0	0	1	0	0	4	0.002531	387.4
Hakea_suberea	158	1	0	0	4	0	4	4	B	0	0	0	1	0	0.1875	3	0.002565	354.1
Reptile_eggs	159	1	0	0	3	0	8	8	B	0	0	0	1	0	0.09375	3	0.003175	282.4
Bird_egg_shell	160	1	0	0	3	0	5	5	B	0	0	0	1	0	0.12	4	0.002957	332.5
Aprasia_striolata	161	1	0	0	3	2	4	6	I	1	1	1	2	0	0.1875	4	0.002819	2368
Leiolopisma_trilineatum	162	1	0	0	2	9	10	19	I	1	1.759	2	2.222	0.4157	0.08	4	0.003484	394.8
Leiolopisma_metallicum	163	1	0	0	2	9	11	20	I	1	1.759	2	2.222	0.4157	0.08264	4	0.003553	376.1
Hemiergis_peronii	164	1	0	0	2	9	8	17	I	1	1.759	2	2.222	0.4157	0.1094	4	0.003287	436.6
Typha_orientalis	165	1	0	0	1	0	1	1	B	0	0	0	1	0	0	4	0.002508	444.7
Typha_dominguensis	166	1	0	0	1	0	1	1	B	0	0	0	1	0	0	4	0.002508	444.7
Protozoans_(ciliates)	167	1	0	0	1	0	1	1	B	0	0	0	1	0	0	4	0.002508	444.7
Ostracods	168	1	0	0	1	0	1	1	B	0	0	0	1	0	0	4	0.002508	444.7
Nematodes	169	1	0	0	1	0	1	1	B	0	0	0	1	0	0	4	0.002508	444.7
Myriophyllum_crispatum	170	1	0	0	1	0	1	1	B	0	0	0	1	0	0	4	0.002508	444.7
Lemna_disperma	171	1	0	0	1	0	1	1	B	0	0	0	1	0	0	4	0.002508	444.7
Cephalodella_sp.	172	1	0	0	1	0	1	1	B	0	0	0	1	0	0	4	0.002508	444.7
Brachionus_sp.	173	1	0	0	1	0	1	1	B	0	0	0	1	0	0	4	0.002508	444.7
Bdelloid	174	1	0	0	1	0	1	1	B	0	0	0	1	0	0	4	0.002508	444.7
