predator,prey,weight
Notomys sp.,Eragrostis setifolia,5
Notomys sp.,Lepidoptera,10
Notomys sp.,Panicum decompositum,5
Notomys sp.,Plectrachne schinzii,5
Notomys sp.,Rhyncharrhena linearis,5
Notomys sp.,Thyridolepis multiculmis,5
Notomys sp.,Triodia longiceps,5
Notomys sp.,Triodia pungens,5
Notomys sp.,Yakirra australiensis,5
Notoryctes caurinus,Araneidae,2
Notoryctes caurinus,Blattodea,20
Notoryctes caurinus,Coleoptera,50
Notoryctes caurinus,Formicidae,14
Notoryctes caurinus,Heteroptera,2
Notoryctes caurinus,Lepidoptera,2
Notoryctes caurinus,Orthoptera,6
Notoryctes caurinus,Scorpionida,2
Notoryctes caurinus,Trigona sp.,2
Ocyphaps lophotes,Amyema sp.,
Ocyphaps lophotes,Araneidae,0.2
Ocyphaps lophotes,Blattodea,0.2
Ocyphaps lophotes,Canthium attenuatum,5
Ocyphaps lophotes,Canthium latifolium,5
Ocyphaps lophotes,Capparis loranthifolia,5
Ocyphaps lophotes,Capparis umbonata,5
Ocyphaps lophotes,Chilopoda,0.2
Ocyphaps lophotes,Coleoptera,0.2
Ocyphaps lophotes,Cynanchum floribundum,5
Ocyphaps lophotes,Eragrostis eriopoda,5
Ocyphaps lophotes,Eragrostis lanipes,5
Ocyphaps lophotes,Eragrostis setifolia,5
Ocyphaps lophotes,Lepidoptera,0.2
Ocyphaps lophotes,Panicum decompositum,5
Ocyphaps lophotes,Plectrachne schinzii,5
Ocyphaps lophotes,Rhyncharrhena linearis,5
Ocyphaps lophotes,Tecticornia verrucosa,5
Ocyphaps lophotes,Thyridolepis multiculmis,10
Ocyphaps lophotes,Triodia longiceps,10
Ocyphaps lophotes,Triodia pungens,10
Ocyphaps lophotes,Yakirra australiensis,9
Oedura marmorata,Blattodea,10
Oedura marmorata,Chilopoda,10
Oedura marmorata,Coleoptera,10
Oedura marmorata,Formicidae,10
Oedura marmorata,Lepidoptera,10
Oedura marmorata,Menetia greyii,10
Oedura marmorata,Morethia lineoocellatus,10
Oedura marmorata,Orthoptera,10
Oedura marmorata,Tiliqua multifasciata,10
Oedura marmorata,Tiliqua occipitalis,10
Oryctolagus cuniculus,Amyema sp.,2
Oryctolagus cuniculus,Canthium attenuatum,2
Oryctolagus cuniculus,Canthium latifolium,2
Oryctolagus cuniculus,Capparis loranthifolia,2
Oryctolagus cuniculus,Capparis umbonata,2
Oryctolagus cuniculus,Cynanchum floribundum,2
Oryctolagus cuniculus,Eragrostis eriopoda,7
Oryctolagus cuniculus,Eragrostis lanipes,7
Oryctolagus cuniculus,Eragrostis setifolia,7
Oryctolagus cuniculus,Panicum decompositum,7
Oryctolagus cuniculus,Plectrachne schinzii,7
Oryctolagus cuniculus,Ptilotus exaltatus,10
Oryctolagus cuniculus,Ptilotus macrocephalus,10
Oryctolagus cuniculus,Ptilotus polystachyus,10
Oryctolagus cuniculus,Sida calyxhymenia,10
Oryctolagus cuniculus,Tecticornia verrucosa,3
Oryctolagus cuniculus,Triodia basedownii,3
Oryctolagus cuniculus,Triodia longiceps,4
Oryctolagus cuniculus,Triodia pungens,3
Perameles eremiana,Blattodea,20
Perameles eremiana,Camponotus inflatus,21
Perameles eremiana,Eragrostis eriopoda,5
Perameles eremiana,Eragrostis lanipes,5
Perameles eremiana,Eragrostis setifolia,5
Perameles eremiana,Formicidae,20
Perameles eremiana,Panicum decompositum,4
Perameles eremiana,Plectrachne schinzii,4
Perameles eremiana,Ptilotus polystachyus,4
Perameles eremiana,Triodia basedownii,4
Perameles eremiana,Triodia longiceps,4
Perameles eremiana,Triodia pungens,4
Petrogale lateralis,Eragrostis eriopoda,10
Petrogale lateralis,Eragrostis lanipes,10
Petrogale lateralis,Eragrostis setifolia,10
Petrogale lateralis,Panicum decompositum,10
Petrogale lateralis,Plectrachne schinzii,10
Petrogale lateralis,Rhyncharrhena linearis,10
Petrogale lateralis,Thyridolepis multiculmis,10
Petrogale lateralis,Triodia longiceps,10
Petrogale lateralis,Triodia pungens,10
Petrogale lateralis,Yakirra australiensis,10
Pogona minor,Blattodea,50
Pogona minor,Camponotus inflatus,5
Pogona minor,Formicidae,45
Pogona vitticeps,Blattodea,90
Pogona vitticeps,Camponotus inflatus,1
Pogona vitticeps,Formicidae,9
Pseudechis australis,Amphibolurus burnsi,5
Pseudechis australis,Ctenotus isolepis,2
Pseudechis australis,Ctenotus leonhardii,2
Pseudechis australis,Ctenotus robustus,2
Pseudechis australis,Ctenotus strauchii,2
Pseudechis australis,Dasycercus cristicauda,5
Pseudechis australis,Dasycercus hilleri,5
Pseudechis australis,Egernia striolata,7
Pseudechis australis,Hemiergis peronii,8
Pseudechis australis,Heteronotia binoei,8
Pseudechis australis,Leggadina forresti,10
Pseudechis australis,Leiolopisma metallicum,8
Pseudechis australis,Leiolopisma trilineatum,8
Pseudechis australis,Notomys sp.,10
Pseudechis australis,Oedura marmorata,8
Pseudechis australis,Notoryctes caurinus,10
Pygopus schraderi,Araneidae,20
Pygopus schraderi,Blattodea,20
Pygopus schraderi,Chilopoda,20
Pygopus schraderi,Coleoptera,20
Pygopus schraderi,Lepidoptera,20
Sminthopsis macroura,Araneidae,33
Sminthopsis macroura,Chilopoda,33
Sminthopsis macroura,Coleoptera,34
Stiltia isabella,Araneidae,20
Stiltia isabella,Blattodea,20
Stiltia isabella,Chilopoda,20
Stiltia isabella,Coleoptera,20
Stiltia isabella,Lepidoptera,20
Suta suta,Amphibolurus burnsi,5
Suta suta,Ctenotus isolepis,2
Suta suta,Ctenotus leonhardii,2
Suta suta,Ctenotus robustus,2
Suta suta,Ctenotus strauchii,2
Suta suta,Dasycercus cristicauda,5
Suta suta,Dasycercus hilleri,5
Suta suta,Egernia striolata,7
Suta suta,Hemiergis peronii,8
Suta suta,Heteronotia binoei,8
Suta suta,Leggadina forresti,10
Suta suta,Leiolopisma metallicum,8
Suta suta,Leiolopisma trilineatum,8
Suta suta,Notomys sp.,10
Suta suta,Oedura marmorata,8
Suta suta,Notoryctes caurinus,10
Tachyglossus aculeatus,Blattodea,60
Tachyglossus aculeatus,Camponotus inflatus,5
Tachyglossus aculeatus,Formicidae,35
Taeniopygia guttata,Amyema sp.,5
Taeniopygia guttata,Canthium attenuatum,5
Taeniopygia guttata,Canthium latifolium,5
Taeniopygia guttata,Capparis loranthifolia,5
Taeniopygia guttata,Capparis umbonata,5
Taeniopygia guttata,Cynanchum floribundum,5
Taeniopygia guttata,Eragrostis eriopoda,6
Taeniopygia guttata,Eragrostis lanipes,6
Taeniopygia guttata,Eragrostis setifolia,6
Taeniopygia guttata,Panicum decompositum,6
Taeniopygia guttata,Plectrachne schinzii,6
Taeniopygia guttata,Ptilotus exaltatus,5
Taeniopygia guttata,Ptilotus macrocephalus,5
Taeniopygia guttata,Ptilotus polystachyus,5
Taeniopygia guttata,Sida calyxhymenia,5
Taeniopygia guttata,Tecticornia verrucosa,5
Taeniopygia guttata,Triodia basedownii,5
Taeniopygia guttata,Triodia longiceps,5
Taeniopygia guttata,Triodia pungens,5
Tiliqua multifasciata,Araneidae,11
Tiliqua multifasciata,Chilopoda,11
Tiliqua multifasciata,Chortoicetes terminifera,11
Tiliqua multifasciata,Coleoptera,11
Tiliqua multifasciata,Endoxyla cinerea,11
Tiliqua multifasciata,Endoxyla leucomochla,11
Tiliqua multifasciata,Lepidoptera,11
Tiliqua multifasciata,Scorpionida,11
Tiliqua multifasciata,Trigona sp.,12
Tiliqua occipitalis,Araneidae,11
Tiliqua occipitalis,Chilopoda,11
Tiliqua occipitalis,Chortoicetes terminifera,11
Tiliqua occipitalis,Coleoptera,11
Tiliqua occipitalis,Endoxyla cinerea,11
Tiliqua occipitalis,Endoxyla leucomochla,11
Tiliqua occipitalis,Lepidoptera,11
Tiliqua occipitalis,Scorpionida,11
Tiliqua occipitalis,Trigona sp.,12
Tiliqua scincoides,Araneidae,11
Tiliqua scincoides,Chilopoda,11
Tiliqua scincoides,Chortoicetes terminifera,11
Tiliqua scincoides,Coleoptera,11
Tiliqua scincoides,Endoxyla cinerea,11
Tiliqua scincoides,Endoxyla leucomochla,11
Tiliqua scincoides,Lepidoptera,11
Tiliqua scincoides,Scorpionida,11
Tiliqua scincoides,Trigona sp.,12
Trichosurus vulpecula,Amyema sp.,2
Trichosurus vulpecula,Canthium attenuatum,2
Trichosurus vulpecula,Canthium latifolium,2
Trichosurus vulpecula,Capparis loranthifolia,2
Trichosurus vulpecula,Capparis umbonata,2
Trichosurus vulpecula,Cynanchum floribundum,2
Trichosurus vulpecula,Eremophila latrobei,2
Trichosurus vulpecula,Eucalyptus opaca,60
Trichosurus vulpecula,Ficus brachypoda,2
Trichosurus vulpecula,Hakea suberea,2
Trichosurus vulpecula,Leptosema chambersii,2
Trichosurus vulpecula,Ptilotus exaltatus,5
Trichosurus vulpecula,Ptilotus macrocephalus,5
Trichosurus vulpecula,Santalum acuminatum,4
Trichosurus vulpecula,Santalum lanceolatum,4
Trichosurus vulpecula,Tecticornia verrucosa,2
Turnix velox,Eragrostis eriopoda,10
Turnix velox,Eragrostis lanipes,10
Turnix velox,Eragrostis setifolia,10
Turnix velox,Panicum decompositum,10
Turnix velox,Plectrachne schinzii,10
Turnix velox,Ptilotus exaltatus,10
Turnix velox,Ptilotus macrocephalus,10
Turnix velox,Ptilotus polystachyus,10
Turnix velox,Sida calyxhymenia,10
Turnix velox,Triodia basedownii,3
Turnix velox,Triodia longiceps,4
Turnix velox,Triodia pungens,3
Tympanocryptis tetraporophora,Blattodea,50
Tympanocryptis tetraporophora,Camponotus inflatus,5
Tympanocryptis tetraporophora,Formicidae,45
Varanus acanthurus,Araneidae,10
Varanus acanthurus,Blattodea,10
Varanus acanthurus,Coleoptera,30
Varanus acanthurus,Lepidoptera,10
Varanus acanthurus,Orthoptera,40
Varanus giganteus,Aprasia striolata,14.9
Varanus giganteus,Araneidae,5.9
Varanus giganteus,Bird egg shell,2.8
Varanus giganteus,Blattodea,3
Varanus giganteus,Chilopoda,5.6
Varanus giganteus,Coleoptera,7
Varanus giganteus,Hemiergis peronii,4.5
Varanus giganteus,human,5
Varanus giganteus,Leiolopisma metallicum,2.1
Varanus giganteus,Leiolopisma trilineatum,4.4
Varanus giganteus,Lepidoptera,0.5
Varanus giganteus,Lerista bougainvillea,11
Varanus giganteus,Menetia greyii,2.1
Varanus giganteus,Morethia lineoocellatus,10.6
Varanus giganteus,Reptile eggs,15
Varanus giganteus,Scorpionida,3.5
Varanus giganteus,Varanus gouldii,2.1
Varanus gouldii,Aprasia striolata,16
Varanus gouldii,Araneidae,6
Varanus gouldii,Bird egg shell,5
Varanus gouldii,Blattodea,4
Varanus gouldii,Chilopoda,6
Varanus gouldii,Coleoptera,9
Varanus gouldii,Hemiergis peronii,3
Varanus gouldii,human,2
Varanus gouldii,Leiolopisma metallicum,2
Varanus gouldii,Leiolopisma trilineatum,5
Varanus gouldii,Lepidoptera,1
Varanus gouldii,Lerista bougainvillea,13
Varanus gouldii,Menetia greyii,4
Varanus gouldii,Morethia lineoocellatus,11
Varanus gouldii,Reptile eggs,6
Varanus gouldii,Scorpionida,4
Varanus gouldii,Varanus gouldii,3
Varanus panoptes,Aprasia striolata,14.9
Varanus panoptes,Araneidae,5.9
Varanus panoptes,Bird egg shell,2.8
Varanus panoptes,Blattodea,3
Varanus panoptes,Chilopoda,5.6
Varanus panoptes,Coleoptera,7
Varanus panoptes,Hemiergis peronii,4.5
Varanus panoptes,human,5
Varanus panoptes,Leiolopisma metallicum,2.1
Varanus panoptes,Leiolopisma trilineatum,4.4
Varanus panoptes,Lepidoptera,0.5
Varanus panoptes,Lerista bougainvillea,11
Varanus panoptes,Menetia greyii,2.1
Varanus panoptes,Morethia lineoocellatus,10.6
Varanus panoptes,Reptile eggs,15
Varanus panoptes,Scorpionida,3.5
Varanus panoptes,Varanus gouldii,2.1
Varanus tristis,Araneidae,5
Varanus tristis,Blattodea,10
Varanus tristis,Coleoptera,5
Varanus tristis,Ctenophorus caudicinctus,7
Varanus tristis,Ctenotus isolepis,7
Varanus tristis,Formicidae,5
Varanus tristis,Lepidoptera,5
Varanus tristis,Lophognatus gilberti,7
Varanus tristis,Orthoptera,35
Varanus tristis,Pogona minor,7
Varanus tristis,Pogona vitticeps,7
Vulpes vulpes,Araneidae,8
Vulpes vulpes,Bird egg shell,12
Vulpes vulpes,Blattodea,8
Vulpes vulpes,Coleoptera,8
Vulpes vulpes,Lepidoptera,8
Vulpes vulpes,Notomys sp.,8
Vulpes vulpes,Reptile eggs,8
Vulpes vulpes,Trichosurus vulpecula,8
Vulpes vulpes,Aquila audax,8
Vulpes vulpes,Ardeotis australis,8
Vulpes vulpes,Trichosurus vulpecula,8
Vulpes vulpes,Notoryctes caurinus,8
Aquila audax,Bettongia lesueur,7
Aquila audax,Canis lupus dingo,10
Aquila audax,Chaeropus ecaudatus,5
Aquila audax,Ctenophorus caudicinctus,1
Aquila audax,Ctenotus isolepis,1
Aquila audax,Felis catus,5
Aquila audax,Lagorchestes hirsutus,10
Aquila audax,Lophognatus gilberti,1
Aquila audax,Macropus robustus,15
Aquila audax,Notomys sp.,5
Aquila audax,Orthoptera,2
Aquila audax,Perameles eremiana,2
Aquila audax,Pogona minor,1
Aquila audax,Pogona vitticeps,1
Aquila audax,Taeniopygia guttata,5
Aquila audax,Tiliqua multifasciata,5
Aquila audax,Tiliqua occipitalis,5
Aquila audax,Varanus gouldii,15
Aquila audax,Corvus cecilae,1
Aquila audax,Falco longipennis,1
Aquila audax,Fulica atra,1
Aquila audax,Anas superciliosa,1
Bettongia lesueur,Eragrostis eriopoda,10
Bettongia lesueur,Eragrostis lanipes,10
Bettongia lesueur,Eragrostis setifolia,10
Bettongia lesueur,Panicum decompositum,10
Bettongia lesueur,Plectrachne schinzii,10
Bettongia lesueur,Ptilotus exaltatus,10
Bettongia lesueur,Ptilotus macrocephalus,10
Bettongia lesueur,Ptilotus polystachyus,10
Bettongia lesueur,Sida calyxhymenia,10
Bettongia lesueur,Triodia basedownii,3
Bettongia lesueur,Triodia longiceps,4
Bettongia lesueur,Triodia pungens,3
Canis lupus dingo,Ardeotis australis,2
Canis lupus dingo,Bettongia lesueur,4
Canis lupus dingo,Chaeropus ecaudatus,4
Canis lupus dingo,Chilopoda,2
Canis lupus dingo,Coleoptera,2
Canis lupus dingo,Ctenophorus caudicinctus,1
Canis lupus dingo,Ctenotus isolepis,1
Canis lupus dingo,Felis catus,5
Canis lupus dingo,human,1
Canis lupus dingo,Lagorchestes hirsutus,11
Canis lupus dingo,Lophognatus gilberti,1
Canis lupus dingo,Macropus robustus,10
Canis lupus dingo,Notomys sp.,15
Canis lupus dingo,Orthoptera,4
Canis lupus dingo,Perameles eremiana,5
Canis lupus dingo,Pogona minor,1
Canis lupus dingo,Pogona vitticeps,1
Canis lupus dingo,Tiliqua multifasciata,1
Canis lupus dingo,Tiliqua occipitalis,1
Canis lupus dingo,Varanus gouldii,10
Canis lupus dingo,Aquila audax,1
Canis lupus dingo,Ardeotis australis,1
Canis lupus dingo,Camelus dromedarius,1
Canis lupus dingo,Dromaius novaehollandiae,1
Canis lupus dingo,Fulica atra,1
Canis lupus dingo,Vulpes vulpes,1
Canis lupus dingo,Varanus acanthurus,1
Canis lupus dingo,Tympanocryptis tetraporophora,1
Canis lupus dingo,Trichosurus vulpecula,1
Canis lupus dingo,Isodon auratus,1
Canis lupus dingo,Macropus rufus,1
Canis lupus dingo,Notoryctes caurinus,5
Canis lupus dingo,Petrogale lateralis,1
Canis lupus dingo,Tachyglossus aculeatus,1
Felis catus,Amphibolurus burnsi,1
Felis catus,Ctenotus isolepis,1
Felis catus,Ctenotus leonhardii,1
Felis catus,Ctenotus robustus,1
Felis catus,Egernia striolata,1
Felis catus,Heteronotia binoei,2
Felis catus,Lagorchestes hirsutus,5
Felis catus,Leggadina forresti,5
Felis catus,Notomys sp.,30
Felis catus,Oedura marmorata,1
Felis catus,Pogona vitticeps,2
Felis catus,Pseudechis australis,1
Felis catus,Pygopus schraderi,1
Felis catus,Reptile eggs,3
Felis catus,Sminthopsis macroura,5
Felis catus,Stiltia isabella,1
Felis catus,Suta suta,1
Felis catus,Taeniopygia guttata,2
Felis catus,Turnix velox,2
Felis catus,Tympanocryptis tetraporophora,2
Felis catus,Varanus gouldii,1
Felis catus,Ardeotis australis,1
Felis catus,Corvus cecilae,1
Felis catus,Fulica atra,1
Felis catus,Vulpes vulpes,1
Felis catus,Varanus acanthurus,1
Felis catus,Tympanocryptis tetraporophora,1
Felis catus,Trichosurus vulpecula,1
Felis catus,Melopsittacus undulatus,1
Felis catus,Notoryctes caurinus,20
Felis catus,Ocyphaps lophotes,1
Felis catus,Petrogale lateralis,1
Felis catus,Tachyglossus aculeatus,1
human,Acacia acradenia,0.15
human,Acacia aneura,2
human,Acacia coriacea,2
human,Acacia cowleana,0.25
human,Acacia cuthbertsoni,0.25
human,Acacia dictyophleba,0.15
human,Acacia kempeana,2
human,Acacia ligulata,0.25
human,Acacia pruinocarpa,0.25
human,Acacia spondylophylla,0.15
human,Acacia tetragonophylla,0.15
human,Allocasuarina decaisneana,0.25
human,Amyema sp.,0.25
human,Anas superciliosa,1
human,Antaresia stimsoni,0.15
human,Aquila audax,1
human,Ardeotis australis,0.25
human,Aspidites melanocephalus,0.15
human,Aspidites ramsayii,0.25
human,Bettongia lesueur,10
human,Blattodea,0.15
human,Calyptorhynchus roseicapilla,0.25
human,Camelus dromedarius,0.25
human,Canis lupus dingo,0.15
human,Canthium attenuatum,0.25
human,Canthium latifolium,1
human,Capparis loranthifolia,0.15
human,Capparis umbonata,0.25
human,Chaeropus ecaudatus,0.25
human,Chioromyces aboriginum,0.15
human,Corvus cecilae,0.25
human,Ctenotus isolepis,0.25
human,Cucumis melo (agrestis),0.15
human,Cynanchum floribundum,1
human,Dactyloctenium radulans,0.25
human,Dasycercus cristicauda,0.15
human,Dasycercus hilleri,0.15
human,Dasyurus hallucatus,0.15
human,Dromaius novaehollandiae,0.15
human,Egernia kintorei,1
human,Egernia striata,0.25
human,Enchylaena tomentosa,1
human,Eucalyptus opaca,0.15
human,Falco longipennis,0.15
human,Felis catus,1
human,Fulica atra,0.15
human,Hakea leucoptera,1
human,Hakea suberea,1
human,human,0.25
human,Isodon auratus,0.25
human,Lagorchestes hirsutus,9
human,Macropus robustus,5
human,Macropus rufus,0.15
human,Macrotis lagotis,0.25
human,Melopsittacus undulatus,0.25
human,Moloch horridus,0.15
human,Mycoclelandia bulundarii,0.15
human,Notomys sp.,1
human,Notoryctes caurinus,0.15
human,Ocyphaps lophotes,0.15
human,Oryctolagus cuniculus,1
human,Panicum decompositum,0.25
human,Perameles eremiana,0.25
human,Petrogale lateralis,0.25
human,Psylla eucalypti,0.15
human,Rhyncharrhena linearis,0.15
human,Santalum acuminatum,1
human,Santalum lanceolatum,0.5
human,Senna sp.,0.25
human,Solanum centrale,1.75
human,Solanum chippendalei,10
human,Solanum cleistogamum,0.15
human,Solanum diversiflorum,3
human,Solanum gilesii,0.15
human,Tachyglossus aculeatus,0.25
human,Taeniopygia guttata,0.25
human,Tecticornia verrucosa,0.25
human,Tiliqua multifasciata,4
human,Tiliqua occipitalis,0.15
human,Trichosurus vulpecula,1
human,Turnix velox,0.15
human,Varanus giganteus,5
human,Varanus gouldii,20
human,Varanus panoptes,1
human,Vulpes vulpes,0.15
human,Yakirra australiensis,0.25
Lagorchestes hirsutus,Araneidae,3
Lagorchestes hirsutus,Blattodea,3
Lagorchestes hirsutus,Chilopoda,3
Lagorchestes hirsutus,Coleoptera,3
Lagorchestes hirsutus,Formicidae,4
Lagorchestes hirsutus,Lepidoptera,4
Lagorchestes hirsutus,Portulaca oleracea,13
Lagorchestes hirsutus,Ptilotus exaltatus,13
Lagorchestes hirsutus,Ptilotus macrocephalus,14
Lagorchestes hirsutus,Triodia basedownii,13
Lagorchestes hirsutus,Triodia longiceps,14
Lagorchestes hirsutus,Triodia pungens,13
Fire,Acacia acradenia,
Fire,Acacia aneura,
Fire,Acacia coriacea,
Fire,Acacia cowleana,
Fire,Acacia cuthbertsoni,
Fire,Acacia dictyophleba,
Fire,Acacia kempeana,
Fire,Acacia ligulata,
Fire,Acacia pruinocarpa,50% casualty
Fire,Acacia spondylophylla,
Fire,Acacia tetragonophylla,100% casualty
Fire,Amyema sp.,
Fire,Calandrinia polyandra,
Fire,Canthium attenuatum,
Fire,Canthium latifolium,
Fire,Capparis loranthifolia,
Fire,Capparis umbonata,
Fire,Chenopodium curvispicatum,
Fire,Chioromyces aboriginum,
Fire,Cucumis melo (agrestis),
Fire,Cynanchum floribundum,
Fire,Dactyloctenium radulans,
Fire,Daucus glochidiatus,
Fire,Enchylaena tomentosa,
Fire,Eragrostis eriopoda,
Fire,Eragrostis lanipes,
Fire,Eragrostis setifolia,
Fire,Eremophila latrobei,
Fire,Eremophila longifolia,
Fire,Ficus brachypoda,
Fire,Grevillea eriostachya,
Fire,Grevillea stenobotrya,
Fire,Grevillea wickhamii,
Fire,Hakea leucoptera,
Fire,Hakea suberea,90% casualty
Fire,Leptosema chambersii,
Fire,Nitraria billardierei,
Fire,Panicum decompositum,
Fire,Plectrachne schinzii,
Fire,Portulaca oleracea,
Fire,Ptilotus exaltatus,
Fire,Ptilotus macrocephalus,
Fire,Ptilotus polystachyus,
Fire,Rhyncharrhena linearis,
Fire,Santalum acuminatum,
Fire,Santalum lanceolatum,50% casualty
Fire,Scaevola parvifolia,
Fire,Senna sp.,
Fire,Sida calyxhymenia,
Fire,Solanum centrale,
Fire,Solanum chippendalei,
Fire,Solanum cleistogamum,
Fire,Solanum diversiflorum,
Fire,Solanum gilesii,
Fire,Solanum lasiophyllum,
Fire,Tecticornia verrucosa,
Fire,Tetragonia eremaea,
Fire,Thryptomene maisonneuve,
Fire,Thyridolepis multiculmis,
Fire,Triodia basedownii,
Fire,Triodia longiceps,
Fire,Triodia pungens,
Fire,Yakirra australiensis,
Fire,Bird egg shell,
Fire,Reptile eggs,
Fire,Blattodea,
Fire,Araneidae,
Fire,Chilopoda,
Fire,Phasmatodea,
Fire,Tiliqua multifasciata,30%  casualty
Fire,Tiliqua occipitalis,30%  casualty
Fire,Tiliqua scincoides,30%  casualty
Fire,Ctenophorus caudicinctus,30%  casualty
Fire,Moloch horridus,30%  casualty
Fire,Ctenotus isolepis,30%  casualty
Fire,Ctenotus leonhardii,30%  casualty
Fire,Ctenotus robustus,30%  casualty
Fire,Ctenotus strauchii,30%  casualty
Fire,Pogona minor,30%  casualty
Fire,Pogona vitticeps,30%  casualty
