predator,prey,weight
Bettongia lesueur,Panicum decompositum,10
Bettongia lesueur,Plectrachne schinzii,10
Bettongia lesueur,Ptilotus exaltatus,10
Bettongia lesueur,Ptilotus macrocephalus,10
Bettongia lesueur,Ptilotus polystachyus,10
Bettongia lesueur,Sida calyxhymenia,10
Bettongia lesueur,Triodia basedownii,3
Bettongia lesueur,Triodia longiceps,4
Bettongia lesueur,Triodia pungens,3
Calyptorhynchus roseicapilla,Acacia acradenia,4
Calyptorhynchus roseicapilla,Acacia aneura,19
Calyptorhynchus roseicapilla,Acacia coriacea,4
Calyptorhynchus roseicapilla,Acacia cowleana,4
Calyptorhynchus roseicapilla,Acacia cuthbertsoni,4
Calyptorhynchus roseicapilla,Acacia dictyophleba,4
Calyptorhynchus roseicapilla,Acacia kempeana,4
Calyptorhynchus roseicapilla,Acacia ligulata,3
Calyptorhynchus roseicapilla,Acacia pruinocarpa,3
Calyptorhynchus roseicapilla,Acacia spondylophylla,3
Calyptorhynchus roseicapilla,Acacia tetragonophylla,3
Calyptorhynchus roseicapilla,Allocasuarina decaisneana,15
Calyptorhynchus roseicapilla,Eucalyptus opaca,30
Camelus dromedarius,Amyema sp.,2
Camelus dromedarius,Canthium attenuatum,1
Camelus dromedarius,Canthium latifolium,1
Camelus dromedarius,Capparis loranthifolia,1
Camelus dromedarius,Capparis umbonata,1
Camelus dromedarius,Cynanchum floribundum,1
Camelus dromedarius,Dactyloctenium radulans,1
Camelus dromedarius,Eragrostis eriopoda,3
Camelus dromedarius,Eragrostis lanipes,3
Camelus dromedarius,Eragrostis setifolia,4
Camelus dromedarius,Hakea leucoptera,4
Camelus dromedarius,Leptosema chambersii,4
Camelus dromedarius,Panicum decompositum,4
Camelus dromedarius,Plectrachne schinzii,4
Camelus dromedarius,Ptilotus polystachyus,4
Camelus dromedarius,Santalum acuminatum,4
Camelus dromedarius,Santalum lanceolatum,4
Camelus dromedarius,Sida calyxhymenia,4
Camelus dromedarius,Solanum centrale,4
Camelus dromedarius,Solanum chippendalei,4
Camelus dromedarius,Solanum cleistogamum,4
Camelus dromedarius,Solanum diversiflorum,4
Camelus dromedarius,Solanum gilesii,4
Camelus dromedarius,Solanum lasiophyllum,4
Camelus dromedarius,Tecticornia verrucosa,1
Camelus dromedarius,Thryptomene maisonneuve,4
Camelus dromedarius,Thyridolepis multiculmis,4
Camelus dromedarius,Triodia basedownii,1
Camelus dromedarius,Triodia longiceps,2
Camelus dromedarius,Triodia longiceps,3
Camelus dromedarius,Triodia pungens,2
Camelus dromedarius,Triodia pungens,3
Camelus dromedarius,Yakirra australiensis,3
Camelus dromedarius,Grevillea eriostachya,1
Camelus dromedarius,Grevillea stenobotrya,1
Camelus dromedarius,Grevillea wickhamii,1
Chaeropus ecaudatus,Eragrostis eriopoda,11
Chaeropus ecaudatus,Eragrostis lanipes,11
Chaeropus ecaudatus,Eragrostis setifolia,11
Chaeropus ecaudatus,Panicum decompositum,11
Chaeropus ecaudatus,Plectrachne schinzii,11
Chaeropus ecaudatus,Ptilotus polystachyus,11
Chaeropus ecaudatus,Triodia basedownii,11
Chaeropus ecaudatus,Triodia longiceps,12
Chaeropus ecaudatus,Triodia pungens,11
Corvus cecilae,Acacia acradenia,2
Corvus cecilae,Acacia aneura,2
Corvus cecilae,Acacia coriacea,2
Corvus cecilae,Acacia cowleana,2
Corvus cecilae,Acacia cuthbertsoni,2
Corvus cecilae,Acacia dictyophleba,2
Corvus cecilae,Acacia kempeana,2
Corvus cecilae,Acacia ligulata,2
Corvus cecilae,Acacia pruinocarpa,2
Corvus cecilae,Acacia spondylophylla,2
Corvus cecilae,Blattodea,1
Corvus cecilae,Chenopodium curvispicatum,5
Corvus cecilae,Coleoptera,5
Corvus cecilae,Cucumis melo (agrestis),5
Corvus cecilae,Diptera,5
Corvus cecilae,Enchylaena tomentosa,3
Corvus cecilae,Formicidae,5
Corvus cecilae,Heteroptera,5
Corvus cecilae,human,2
Corvus cecilae,Lagorchestes hirsutus,5
Corvus cecilae,Leiolopisma metallicum,2
Corvus cecilae,Mantodea,2
Corvus cecilae,Orthoptera,5
Corvus cecilae,Pseudechis australis,2
Corvus cecilae,Psylla eucalypti,2
Corvus cecilae,Taeniopygia guttata,3
Corvus cecilae,Triodia basedownii,2
Corvus cecilae,Triodia longiceps,2
Corvus cecilae,Triodia pungens,2
Corvus cecilae,Falco longipennis,1
Corvus cecilae,Varanus acanthurus,2
Corvus cecilae,Melopsittacus undulatus,3
Corvus cecilae,Ocyphaps lophotes,3
Corvus cecilae,Petrogale lateralis,3
Corvus cecilae,Tachyglossus aculeatus,3
Corvus cecilae,Anas superciliosa,2
Ctenophorus caudicinctus,Araneidae,13
Ctenophorus caudicinctus,Blattodea,2.5
Ctenophorus caudicinctus,Blattodea,28.6
Ctenophorus caudicinctus,Chilopoda,1.4
Ctenophorus caudicinctus,Coleoptera,7
Ctenophorus caudicinctus,Ctenotus robustus,0.7
Ctenophorus caudicinctus,Diptera,0.6
Ctenophorus caudicinctus,Formicidae,17.9
Ctenophorus caudicinctus,Heteroptera,2.5
Ctenophorus caudicinctus,Lepidoptera,3.5
Ctenophorus caudicinctus,Mantodea,1
Ctenophorus caudicinctus,Neuroptera,0.5
Ctenophorus caudicinctus,Orthoptera,4.7
