"predator","prey","From","To","Type"
"Dromaius novaehollandiae","Grevillea eriostachya","emu","wama","Predator-prey"
"Dromaius novaehollandiae","Grevillea stenobotrya","emu","wama","Predator-prey"
"Dromaius novaehollandiae","Grevillea wickhamii","emu","wama","Predator-prey"
"Dromaius novaehollandiae","Hakea leucoptera","emu","wama","Predator-prey"
"Dromaius novaehollandiae","Hakea suberea","emu","wama","Predator-prey"
"Dromaius novaehollandiae","Leiolopisma metallicum","emu","skinks","Predator-prey"
"Dromaius novaehollandiae","Leiolopisma trilineatum","emu","skinks","Predator-prey"
"Dromaius novaehollandiae","Nitraria billardierei","emu","bush","Predator-prey"
"Dromaius novaehollandiae","Plectrachne schinzii","emu","spinifex","Predator-prey"
"Dromaius novaehollandiae","Ptilotus exaltatus","emu","forb","Predator-prey"
"Dromaius novaehollandiae","Santalum acuminatum","emu","bush","Predator-prey"
"Dromaius novaehollandiae","Tecticornia verrucosa","emu","bush","Predator-prey"
"Dromaius novaehollandiae","Tetragonia eremaea","emu","forb","Predator-prey"
"Dromaius novaehollandiae","Thyridolepis multiculmis","emu","spinifex","Predator-prey"
"Dromaius novaehollandiae","Eremophila latrobei","emu","forb","Predator-prey"
"Egernia kintorei","Blattodea","skinks","insect","Predator-prey"
"Egernia kintorei","Formicidae","skinks","insect","Predator-prey"
"Egernia kintorei","Plectrachne schinzii","skinks","spinifex","Predator-prey"
"Egernia kintorei","Scaevola parvifolia","skinks","bush","Predator-prey"
"Egernia kintorei","Senna sp.","skinks","bush","Predator-prey"
"Egernia kintorei","Solanum centrale","skinks","solanum","Predator-prey"
"Egernia kintorei","Solanum chippendalei","skinks","solanum","Predator-prey"
"Egernia kintorei","Solanum cleistogamum","skinks","solanum","Predator-prey"
"Egernia kintorei","Solanum diversiflorum","skinks","solanum","Predator-prey"
"Egernia kintorei","Solanum gilesii","skinks","solanum","Predator-prey"
"Egernia kintorei","Solanum lasiophyllum","skinks","solanum","Predator-prey"
"Egernia kintorei","Tetragonia eremaea","skinks","forb","Predator-prey"
"Egernia kintorei","Triodia basedownii","skinks","spinifex","Predator-prey"
"Egernia kintorei","Triodia longiceps","skinks","spinifex","Predator-prey"
"Egernia kintorei","Triodia pungens","skinks","spinifex","Predator-prey"
"Egernia kintorei","Yakirra australiensis","skinks","spinifex","Predator-prey"
"Egernia striata","Blattodea","skinks","insect","Predator-prey"
"Egernia striata","Camponotus inflatus","skinks","insect","Predator-prey"
"Egernia striata","Formicidae","skinks","insect","Predator-prey"
"Egernia striata","Plectrachne schinzii","skinks","spinifex","Predator-prey"
"Egernia striata","Scaevola parvifolia","skinks","bush","Predator-prey"
"Egernia striata","Senna sp.","skinks","bush","Predator-prey"
"Egernia striata","Solanum centrale","skinks","solanum","Predator-prey"
"Egernia striata","Solanum chippendalei","skinks","solanum","Predator-prey"
"Egernia striata","Solanum cleistogamum","skinks","solanum","Predator-prey"
"Egernia striata","Solanum diversiflorum","skinks","solanum","Predator-prey"
"Egernia striata","Solanum gilesii","skinks","solanum","Predator-prey"
"Egernia striata","Solanum lasiophyllum","skinks","solanum","Predator-prey"
"Egernia striata","Tetragonia eremaea","skinks","forb","Predator-prey"
"Egernia striata","Triodia basedownii","skinks","spinifex","Predator-prey"
"Egernia striata","Triodia longiceps","skinks","spinifex","Predator-prey"
"Egernia striata","Triodia pungens","skinks","spinifex","Predator-prey"
"Egernia striata","Yakirra australiensis","skinks","spinifex","Predator-prey"
"Egernia striolata","Blattodea","skinks","insect","Predator-prey"
"Egernia striolata","Camponotus inflatus","skinks","insect","Predator-prey"
"Egernia striolata","Formicidae","skinks","insect","Predator-prey"
"Egernia striolata","Plectrachne schinzii","skinks","spinifex","Predator-prey"
"Egernia striolata","Scaevola parvifolia","skinks","bush","Predator-prey"
"Egernia striolata","Senna sp.","skinks","bush","Predator-prey"
"Egernia striolata","Solanum centrale","skinks","solanum","Predator-prey"
"Egernia striolata","Solanum chippendalei","skinks","solanum","Predator-prey"
"Egernia striolata","Solanum cleistogamum","skinks","solanum","Predator-prey"
"Egernia striolata","Solanum diversiflorum","skinks","solanum","Predator-prey"
"Egernia striolata","Solanum gilesii","skinks","solanum","Predator-prey"
"Egernia striolata","Solanum lasiophyllum","skinks","solanum","Predator-prey"
"Egernia striolata","Tetragonia eremaea","skinks","forb","Predator-prey"
"Egernia striolata","Triodia basedownii","skinks","spinifex","Predator-prey"
"Egernia striolata","Triodia longiceps","skinks","spinifex","Predator-prey"
"Egernia striolata","Triodia pungens","skinks","spinifex","Predator-prey"
"Egernia striolata","Yakirra australiensis","skinks","spinifex","Predator-prey"
"Endoxyla cinerea","Acacia acradenia","grub","Acacia","Predator-prey"
"Endoxyla cinerea","Acacia aneura","grub","Acacia","Predator-prey"
"Endoxyla cinerea","Acacia coriacea","grub","Acacia","Predator-prey"
"Endoxyla cinerea","Acacia cowleana","grub","Acacia","Predator-prey"
"Endoxyla cinerea","Acacia cuthbertsoni","grub","Acacia","Predator-prey"
"Endoxyla cinerea","Acacia dictyophleba","grub","Acacia","Predator-prey"
"Endoxyla cinerea","Acacia kempeana","grub","Acacia","Predator-prey"
"Endoxyla cinerea","Acacia ligulata","grub","Acacia","Predator-prey"
"Endoxyla cinerea","Acacia pruinocarpa","grub","Acacia","Predator-prey"
"Endoxyla cinerea","Acacia spondylophylla","grub","Acacia","Predator-prey"
"Endoxyla cinerea","Acacia tetragonophylla","grub","Acacia","Predator-prey"
"Endoxyla leucomochla","Acacia acradenia","grub","Acacia","Predator-prey"
"Endoxyla leucomochla","Acacia aneura","grub","Acacia","Predator-prey"
"Endoxyla leucomochla","Acacia coriacea","grub","Acacia","Predator-prey"
"Endoxyla leucomochla","Acacia cowleana","grub","Acacia","Predator-prey"
"Endoxyla leucomochla","Acacia cuthbertsoni","grub","Acacia","Predator-prey"
"Endoxyla leucomochla","Acacia dictyophleba","grub","Acacia","Predator-prey"
"Endoxyla leucomochla","Acacia kempeana","grub","Acacia","Predator-prey"
"Endoxyla leucomochla","Acacia ligulata","grub","Acacia","Predator-prey"
"Endoxyla leucomochla","Acacia pruinocarpa","grub","Acacia","Predator-prey"
"Endoxyla leucomochla","Acacia spondylophylla","grub","Acacia","Predator-prey"
"Endoxyla leucomochla","Acacia tetragonophylla","grub","Acacia","Predator-prey"
"Falco longipennis","Amphibolurus burnsi","bird","skinks","Predator-prey"
"Falco longipennis","Aprasia striolata","bird","skinks","Predator-prey"
"Falco longipennis","Araneidae","bird","insect","Predator-prey"
"Falco longipennis","Bettongia lesueur","bird","small mammal","Predator-prey"
"Falco longipennis","Blattodea","bird","insect","Predator-prey"
"Falco longipennis","Chilopoda","bird","insect","Predator-prey"
"Falco longipennis","Coleoptera","bird","insect","Predator-prey"
"Falco longipennis","Ctenotus isolepis","bird","skinks","Predator-prey"
"Falco longipennis","Ctenotus isolepis","bird","skinks","Predator-prey"
"Falco longipennis","Ctenotus leonhardii","bird","skinks","Predator-prey"
"Falco longipennis","Ctenotus leonhardii","bird","skinks","Predator-prey"
"Falco longipennis","Ctenotus robustus","bird","skinks","Predator-prey"
"Falco longipennis","Ctenotus robustus","bird","skinks","Predator-prey"
"Falco longipennis","Ctenotus strauchii","bird","skinks","Predator-prey"
"Falco longipennis","Dasycercus cristicauda","bird","small mammal","Predator-prey"
"Falco longipennis","Dasycercus hilleri","bird","small mammal","Predator-prey"
"Falco longipennis","Dasyurus hallucatus","bird","small mammal","Predator-prey"
"Falco longipennis","Formicidae","bird","insect","Predator-prey"
"Falco longipennis","Heteronotia binoei","bird","skinks","Predator-prey"
"Falco longipennis","Leiolopisma metallicum","bird","skinks","Predator-prey"
"Falco longipennis","Leiolopisma trilineatum","bird","skinks","Predator-prey"
"Falco longipennis","Lepidoptera","bird","insect","Predator-prey"
"Falco longipennis","Oedura marmorata","bird","skinks","Predator-prey"
"Falco longipennis","Orthoptera","bird","insect","Predator-prey"
"Falco longipennis","Suta suta","bird","Snakes","Predator-prey"
"Fulica atra","Bdelloid","bird","insect","Predator-prey"
"Fulica atra","Brachionus sp.","bird","insect","Predator-prey"
"Fulica atra","Cephalodella sp.","bird","insect","Predator-prey"
"Fulica atra","Lemna disperma","bird","insect","Predator-prey"
"Fulica atra","Myriophyllum crispatum","bird","rush","Predator-prey"
"Fulica atra","Nematodes","bird","insect","Predator-prey"
"Fulica atra","Ostracods","bird","insect","Predator-prey"
"Fulica atra","Protozoans (ciliates)","bird","insect","Predator-prey"
"Fulica atra","Typha dominguensis","bird","rush","Predator-prey"
"Fulica atra","Typha orientalis","bird","rush","Predator-prey"
"Hemiergis peronii","Araneidae","skinks","insect","Predator-prey"
"Hemiergis peronii","Chilopoda","skinks","insect","Predator-prey"
"Hemiergis peronii","Chortoicetes terminifera","skinks","insect","Predator-prey"
"Hemiergis peronii","Coleoptera","skinks","insect","Predator-prey"
"Hemiergis peronii","Endoxyla cinerea","skinks","grub","Predator-prey"
"Hemiergis peronii","Endoxyla leucomochla","skinks","grub","Predator-prey"
"Hemiergis peronii","Lepidoptera","skinks","insect","Predator-prey"
"Hemiergis peronii","Scorpionida","skinks","insect","Predator-prey"
"Hemiergis peronii","Trigona sp.","skinks","insect","Predator-prey"
"Heteronotia binoei","Chilopoda","skinks","insect","Predator-prey"
"Heteronotia binoei","Chortoicetes terminifera","skinks","insect","Predator-prey"
"Heteronotia binoei","Coleoptera","skinks","insect","Predator-prey"
"Heteronotia binoei","Lepidoptera","skinks","insect","Predator-prey"
"Isodon auratus","Acacia acradenia","small mammal","Acacia","Predator-prey"
"Isodon auratus","Acacia aneura","small mammal","Acacia","Predator-prey"
"Isodon auratus","Acacia coriacea","small mammal","Acacia","Predator-prey"
"Isodon auratus","Acacia cowleana","small mammal","Acacia","Predator-prey"
"Isodon auratus","Acacia cuthbertsoni","small mammal","Acacia","Predator-prey"
"Isodon auratus","Acacia dictyophleba","small mammal","Acacia","Predator-prey"
"Isodon auratus","Acacia kempeana","small mammal","Acacia","Predator-prey"
"Isodon auratus","Acacia ligulata","small mammal","Acacia","Predator-prey"
"Isodon auratus","Acacia pruinocarpa","small mammal","Acacia","Predator-prey"
"Isodon auratus","Acacia spondylophylla","small mammal","Acacia","Predator-prey"
"Isodon auratus","Acacia tetragonophylla","small mammal","Acacia","Predator-prey"
"Isodon auratus","Araneidae","small mammal","insect","Predator-prey"
"Isodon auratus","Blattodea","small mammal","insect","Predator-prey"
"Isodon auratus","Chilopoda","small mammal","insect","Predator-prey"
"Isodon auratus","Coleoptera","small mammal","insect","Predator-prey"
"Isodon auratus","Daucus glochidiatus","small mammal","forb","Predator-prey"
"Isodon auratus","Eremophila longifolia","small mammal","forb","Predator-prey"
"Isodon auratus","Formicidae","small mammal","insect","Predator-prey"
"Isodon auratus","Nitraria billardierei","small mammal","bush","Predator-prey"
"Isodon auratus","Tetragonia eremaea","small mammal","forb","Predator-prey"
"Leggadina forresti","Araneidae","small mammal","insect","Predator-prey"
"Leggadina forresti","Blattodea","small mammal","insect","Predator-prey"
"Leggadina forresti","Chilopoda","small mammal","insect","Predator-prey"
"Leggadina forresti","Coleoptera","small mammal","insect","Predator-prey"
"Leggadina forresti","Eragrostis eriopoda","small mammal","spinifex","Predator-prey"
"Leggadina forresti","Eragrostis lanipes","small mammal","spinifex","Predator-prey"
"Leggadina forresti","Eragrostis setifolia","small mammal","spinifex","Predator-prey"
"Leggadina forresti","Lepidoptera","small mammal","insect","Predator-prey"
"Leggadina forresti","Panicum decompositum","small mammal","spinifex","Predator-prey"
"Leggadina forresti","Plectrachne schinzii","small mammal","spinifex","Predator-prey"
"Leggadina forresti","Rhyncharrhena linearis","small mammal","forb","Predator-prey"
"Leggadina forresti","Thyridolepis multiculmis","small mammal","spinifex","Predator-prey"
"Leggadina forresti","Triodia longiceps","small mammal","spinifex","Predator-prey"
"Leggadina forresti","Triodia pungens","small mammal","spinifex","Predator-prey"
"Leggadina forresti","Yakirra australiensis","small mammal","spinifex","Predator-prey"
"Leiolopisma metallicum","Araneidae","skinks","insect","Predator-prey"
"Leiolopisma metallicum","Chilopoda","skinks","insect","Predator-prey"
"Leiolopisma metallicum","Chortoicetes terminifera","skinks","insect","Predator-prey"
"Leiolopisma metallicum","Coleoptera","skinks","insect","Predator-prey"
"Leiolopisma metallicum","Endoxyla cinerea","skinks","grub","Predator-prey"
"Leiolopisma metallicum","Endoxyla leucomochla","skinks","grub","Predator-prey"
"Leiolopisma metallicum","Lepidoptera","skinks","insect","Predator-prey"
"Leiolopisma metallicum","Scorpionida","skinks","insect","Predator-prey"
"Leiolopisma metallicum","Trigona sp.","skinks","insect","Predator-prey"
"Leiolopisma trilineatum","Araneidae","skinks","insect","Predator-prey"
"Leiolopisma trilineatum","Chilopoda","skinks","insect","Predator-prey"
"Leiolopisma trilineatum","Chortoicetes terminifera","skinks","insect","Predator-prey"
"Leiolopisma trilineatum","Coleoptera","skinks","insect","Predator-prey"
"Leiolopisma trilineatum","Endoxyla cinerea","skinks","grub","Predator-prey"
"Leiolopisma trilineatum","Endoxyla leucomochla","skinks","grub","Predator-prey"
"Leiolopisma trilineatum","Lepidoptera","skinks","insect","Predator-prey"
"Leiolopisma trilineatum","Scorpionida","skinks","insect","Predator-prey"
"Leiolopisma trilineatum","Trigona sp.","skinks","insect","Predator-prey"
"Lerista bougainvillea","Blattodea","skinks","insect","Predator-prey"
"Lerista bougainvillea","Coleoptera","skinks","insect","Predator-prey"
"Lerista bougainvillea","Formicidae","skinks","insect","Predator-prey"
"Lerista bougainvillea","Heteroptera","skinks","insect","Predator-prey"
"Lerista bougainvillea","Trigona sp.","skinks","insect","Predator-prey"
"Lophognatus gilberti","Blattodea","skinks","insect","Predator-prey"
"Lophognatus gilberti","Formicidae","skinks","insect","Predator-prey"
"Macropus robustus","Calandrinia polyandra","kangaroo","forb","Predator-prey"
"Macropus robustus","Eragrostis eriopoda","kangaroo","spinifex","Predator-prey"
"Macropus robustus","Eragrostis lanipes","kangaroo","spinifex","Predator-prey"
"Macropus robustus","Eragrostis setifolia","kangaroo","spinifex","Predator-prey"
"Macropus robustus","Plectrachne schinzii","kangaroo","spinifex","Predator-prey"
"Macropus robustus","Ptilotus exaltatus","kangaroo","forb","Predator-prey"
"Macropus robustus","Ptilotus macrocephalus","kangaroo","forb","Predator-prey"
"Macropus robustus","Ptilotus polystachyus","kangaroo","forb","Predator-prey"
"Macropus robustus","Sida calyxhymenia","kangaroo","bush","Predator-prey"
"Macropus robustus","Thyridolepis multiculmis","kangaroo","spinifex","Predator-prey"
"Macropus robustus","Triodia basedownii","kangaroo","spinifex","Predator-prey"
"Macropus robustus","Triodia longiceps","kangaroo","spinifex","Predator-prey"
"Macropus robustus","Triodia pungens","kangaroo","spinifex","Predator-prey"
"Macropus rufus","Eragrostis eriopoda","kangaroo","spinifex","Predator-prey"
"Macropus rufus","Eragrostis lanipes","kangaroo","spinifex","Predator-prey"
"Macropus rufus","Eragrostis setifolia","kangaroo","spinifex","Predator-prey"
"Macropus rufus","Panicum decompositum","kangaroo","spinifex","Predator-prey"
"Macropus rufus","Plectrachne schinzii","kangaroo","spinifex","Predator-prey"
"Macropus rufus","Ptilotus exaltatus","kangaroo","forb","Predator-prey"
"Macropus rufus","Ptilotus macrocephalus","kangaroo","forb","Predator-prey"
"Macropus rufus","Ptilotus polystachyus","kangaroo","forb","Predator-prey"
"Macropus rufus","Sida calyxhymenia","kangaroo","bush","Predator-prey"
"Macropus rufus","Triodia basedownii","kangaroo","spinifex","Predator-prey"
"Macropus rufus","Triodia longiceps","kangaroo","spinifex","Predator-prey"
"Macropus rufus","Triodia pungens","kangaroo","spinifex","Predator-prey"
"Macrotis lagotis","Araneidae","small mammal","insect","Predator-prey"
"Macrotis lagotis","Blattodea","small mammal","insect","Predator-prey"
"Macrotis lagotis","Coleoptera","small mammal","insect","Predator-prey"
"Macrotis lagotis","Formicidae","small mammal","insect","Predator-prey"
"Macrotis lagotis","Orthoptera","small mammal","insect","Predator-prey"
"Melopsittacus undulatus","Acacia acradenia","bird","Acacia","Predator-prey"
"Melopsittacus undulatus","Acacia aneura","bird","Acacia","Predator-prey"
"Melopsittacus undulatus","Acacia coriacea","bird","Acacia","Predator-prey"
"Melopsittacus undulatus","Acacia cowleana","bird","Acacia","Predator-prey"
"Melopsittacus undulatus","Acacia cuthbertsoni","bird","Acacia","Predator-prey"
"Melopsittacus undulatus","Acacia dictyophleba","bird","Acacia","Predator-prey"
"Melopsittacus undulatus","Acacia kempeana","bird","Acacia","Predator-prey"
"Melopsittacus undulatus","Acacia ligulata","bird","Acacia","Predator-prey"
"Melopsittacus undulatus","Acacia pruinocarpa","bird","Acacia","Predator-prey"
"Melopsittacus undulatus","Acacia spondylophylla","bird","Acacia","Predator-prey"
"Melopsittacus undulatus","Acacia tetragonophylla","bird","Acacia","Predator-prey"
"Menetia greyii","Blattodea","skinks","insect","Predator-prey"
"Menetia greyii","Chilopoda","skinks","insect","Predator-prey"
"Menetia greyii","Coleoptera","skinks","insect","Predator-prey"
"Menetia greyii","Formicidae","skinks","insect","Predator-prey"
"Menetia greyii","Lepidoptera","skinks","insect","Predator-prey"
"Menetia greyii","Orthoptera","skinks","insect","Predator-prey"
"Moloch horridus","Camponotus inflatus","skinks","insect","Predator-prey"
"Moloch horridus","Formicidae","skinks","insect","Predator-prey"
"Morethia lineoocellatus","Blattodea","skinks","insect","Predator-prey"
"Morethia lineoocellatus","Chilopoda","skinks","insect","Predator-prey"
"Morethia lineoocellatus","Coleoptera","skinks","insect","Predator-prey"
"Morethia lineoocellatus","Formicidae","skinks","insect","Predator-prey"
"Morethia lineoocellatus","Lepidoptera","skinks","insect","Predator-prey"
"Morethia lineoocellatus","Orthoptera","skinks","insect","Predator-prey"
"Notaden nichollsi","Blattodea","skinks","insect","Predator-prey"
"Notaden nichollsi","Camponotus inflatus","skinks","insect","Predator-prey"
"Notaden nichollsi","Formicidae","skinks","insect","Predator-prey"
"Notomys sp.","Araneidae","small mammal","insect","Predator-prey"
"Notomys sp.","Blattodea","small mammal","insect","Predator-prey"
"Notomys sp.","Chilopoda","small mammal","insect","Predator-prey"
"Notomys sp.","Coleoptera","small mammal","insect","Predator-prey"
"Notomys sp.","Eragrostis eriopoda","small mammal","spinifex","Predator-prey"
"Notomys sp.","Eragrostis lanipes","small mammal","spinifex","Predator-prey"
"Notomys sp.","Eragrostis setifolia","small mammal","spinifex","Predator-prey"
"Notomys sp.","Lepidoptera","small mammal","insect","Predator-prey"
"Notomys sp.","Panicum decompositum","small mammal","spinifex","Predator-prey"
"Notomys sp.","Plectrachne schinzii","small mammal","spinifex","Predator-prey"
"Notomys sp.","Rhyncharrhena linearis","small mammal","forb","Predator-prey"
"Notomys sp.","Thyridolepis multiculmis","small mammal","spinifex","Predator-prey"
"Notomys sp.","Triodia longiceps","small mammal","spinifex","Predator-prey"
"Notomys sp.","Triodia pungens","small mammal","spinifex","Predator-prey"
"Notomys sp.","Yakirra australiensis","small mammal","spinifex","Predator-prey"
"Notoryctes caurinus","Araneidae","small mammal","insect","Predator-prey"
"Notoryctes caurinus","Blattodea","small mammal","insect","Predator-prey"
"Notoryctes caurinus","Coleoptera","small mammal","insect","Predator-prey"
"Notoryctes caurinus","Formicidae","small mammal","insect","Predator-prey"
"Notoryctes caurinus","Heteroptera","small mammal","insect","Predator-prey"
"Notoryctes caurinus","Lepidoptera","small mammal","insect","Predator-prey"
"Notoryctes caurinus","Orthoptera","small mammal","insect","Predator-prey"
"Notoryctes caurinus","Scorpionida","small mammal","insect","Predator-prey"
"Notoryctes caurinus","Trigona sp.","small mammal","insect","Predator-prey"
"Ocyphaps lophotes","Amyema sp.","bird","vine","Predator-prey"
"Ocyphaps lophotes","Araneidae","bird","insect","Predator-prey"
"Ocyphaps lophotes","Blattodea","bird","insect","Predator-prey"
"Ocyphaps lophotes","Canthium attenuatum","bird","vine","Predator-prey"
"Ocyphaps lophotes","Canthium latifolium","bird","vine","Predator-prey"
"Ocyphaps lophotes","Capparis loranthifolia","bird","bush","Predator-prey"
"Ocyphaps lophotes","Capparis umbonata","bird","bush","Predator-prey"
"Ocyphaps lophotes","Chilopoda","bird","insect","Predator-prey"
"Ocyphaps lophotes","Coleoptera","bird","insect","Predator-prey"
"Ocyphaps lophotes","Cynanchum floribundum","bird","bush","Predator-prey"
"Ocyphaps lophotes","Eragrostis eriopoda","bird","spinifex","Predator-prey"
"Ocyphaps lophotes","Eragrostis lanipes","bird","spinifex","Predator-prey"
"Ocyphaps lophotes","Eragrostis setifolia","bird","spinifex","Predator-prey"
"Ocyphaps lophotes","Lepidoptera","bird","insect","Predator-prey"
"Ocyphaps lophotes","Panicum decompositum","bird","spinifex","Predator-prey"
"Ocyphaps lophotes","Plectrachne schinzii","bird","spinifex","Predator-prey"
"Ocyphaps lophotes","Rhyncharrhena linearis","bird","forb","Predator-prey"
"Ocyphaps lophotes","Tecticornia verrucosa","bird","bush","Predator-prey"
"Ocyphaps lophotes","Thyridolepis multiculmis","bird","spinifex","Predator-prey"
"Ocyphaps lophotes","Triodia longiceps","bird","spinifex","Predator-prey"
"Ocyphaps lophotes","Triodia pungens","bird","spinifex","Predator-prey"
"Ocyphaps lophotes","Yakirra australiensis","bird","spinifex","Predator-prey"
"Oedura marmorata","Blattodea","skinks","insect","Predator-prey"
"Oedura marmorata","Chilopoda","skinks","insect","Predator-prey"
"Oedura marmorata","Coleoptera","skinks","insect","Predator-prey"
"Oedura marmorata","Formicidae","skinks","insect","Predator-prey"
"Oedura marmorata","Lepidoptera","skinks","insect","Predator-prey"
"Oedura marmorata","Menetia greyii","skinks","skinks","Predator-prey"
"Oedura marmorata","Morethia lineoocellatus","skinks","skinks","Predator-prey"
"Oedura marmorata","Orthoptera","skinks","insect","Predator-prey"
"Oedura marmorata","Tiliqua multifasciata","skinks","skinks","Predator-prey"
"Oedura marmorata","Tiliqua occipitalis","skinks","skinks","Predator-prey"
"Oryctolagus cuniculus","Amyema sp.","invasive small mammal","vine","Predator-prey"
"Oryctolagus cuniculus","Canthium attenuatum","invasive small mammal","vine","Predator-prey"
"Oryctolagus cuniculus","Canthium latifolium","invasive small mammal","vine","Predator-prey"
"Oryctolagus cuniculus","Capparis loranthifolia","invasive small mammal","bush","Predator-prey"
"Oryctolagus cuniculus","Capparis umbonata","invasive small mammal","bush","Predator-prey"
"Oryctolagus cuniculus","Cynanchum floribundum","invasive small mammal","bush","Predator-prey"
"Oryctolagus cuniculus","Eragrostis eriopoda","invasive small mammal","spinifex","Predator-prey"
"Oryctolagus cuniculus","Eragrostis lanipes","invasive small mammal","spinifex","Predator-prey"
"Oryctolagus cuniculus","Eragrostis setifolia","invasive small mammal","spinifex","Predator-prey"
"Oryctolagus cuniculus","Panicum decompositum","invasive small mammal","spinifex","Predator-prey"
"Oryctolagus cuniculus","Plectrachne schinzii","invasive small mammal","spinifex","Predator-prey"
"Oryctolagus cuniculus","Ptilotus exaltatus","invasive small mammal","forb","Predator-prey"
"Oryctolagus cuniculus","Ptilotus macrocephalus","invasive small mammal","forb","Predator-prey"
"Oryctolagus cuniculus","Ptilotus polystachyus","invasive small mammal","forb","Predator-prey"
"Oryctolagus cuniculus","Sida calyxhymenia","invasive small mammal","bush","Predator-prey"
"Oryctolagus cuniculus","Tecticornia verrucosa","invasive small mammal","bush","Predator-prey"
"Oryctolagus cuniculus","Triodia basedownii","invasive small mammal","spinifex","Predator-prey"
"Oryctolagus cuniculus","Triodia longiceps","invasive small mammal","spinifex","Predator-prey"
"Oryctolagus cuniculus","Triodia pungens","invasive small mammal","spinifex","Predator-prey"
"Perameles eremiana","Blattodea","small mammal","insect","Predator-prey"
"Perameles eremiana","Camponotus inflatus","small mammal","insect","Predator-prey"
"Perameles eremiana","Eragrostis eriopoda","small mammal","spinifex","Predator-prey"
"Perameles eremiana","Eragrostis lanipes","small mammal","spinifex","Predator-prey"
"Perameles eremiana","Eragrostis setifolia","small mammal","spinifex","Predator-prey"
"Perameles eremiana","Formicidae","small mammal","insect","Predator-prey"
"Perameles eremiana","Panicum decompositum","small mammal","spinifex","Predator-prey"
"Perameles eremiana","Plectrachne schinzii","small mammal","spinifex","Predator-prey"
"Perameles eremiana","Ptilotus polystachyus","small mammal","forb","Predator-prey"
"Perameles eremiana","Triodia basedownii","small mammal","spinifex","Predator-prey"
"Perameles eremiana","Triodia longiceps","small mammal","spinifex","Predator-prey"
"Perameles eremiana","Triodia pungens","small mammal","spinifex","Predator-prey"
"Petrogale lateralis","Eragrostis eriopoda","small mammal","spinifex","Predator-prey"
"Petrogale lateralis","Eragrostis lanipes","small mammal","spinifex","Predator-prey"
"Petrogale lateralis","Eragrostis setifolia","small mammal","spinifex","Predator-prey"
"Petrogale lateralis","Panicum decompositum","small mammal","spinifex","Predator-prey"
"Petrogale lateralis","Plectrachne schinzii","small mammal","spinifex","Predator-prey"
"Petrogale lateralis","Rhyncharrhena linearis","small mammal","forb","Predator-prey"
"Petrogale lateralis","Thyridolepis multiculmis","small mammal","spinifex","Predator-prey"
"Petrogale lateralis","Triodia longiceps","small mammal","spinifex","Predator-prey"
"Petrogale lateralis","Triodia pungens","small mammal","spinifex","Predator-prey"
"Petrogale lateralis","Yakirra australiensis","small mammal","spinifex","Predator-prey"
"Pogona minor","Blattodea","skinks","insect","Predator-prey"
"Pogona minor","Camponotus inflatus","skinks","insect","Predator-prey"
"Pogona minor","Formicidae","skinks","insect","Predator-prey"
"Pogona vitticeps","Blattodea","skinks","insect","Predator-prey"
"Pogona vitticeps","Camponotus inflatus","skinks","insect","Predator-prey"
"Pogona vitticeps","Formicidae","skinks","insect","Predator-prey"
"Pseudechis australis","Amphibolurus burnsi","Snakes","skinks","Predator-prey"
"Pseudechis australis","Ctenotus isolepis","Snakes","skinks","Predator-prey"
"Pseudechis australis","Ctenotus leonhardii","Snakes","skinks","Predator-prey"
"Pseudechis australis","Ctenotus robustus","Snakes","skinks","Predator-prey"
"Pseudechis australis","Ctenotus strauchii","Snakes","skinks","Predator-prey"
"Pseudechis australis","Dasycercus cristicauda","Snakes","small mammal","Predator-prey"
"Pseudechis australis","Dasycercus hilleri","Snakes","small mammal","Predator-prey"
"Pseudechis australis","Egernia striolata","Snakes","skinks","Predator-prey"
"Pseudechis australis","Hemiergis peronii","Snakes","skinks","Predator-prey"
"Pseudechis australis","Heteronotia binoei","Snakes","skinks","Predator-prey"
"Pseudechis australis","Leggadina forresti","Snakes","small mammal","Predator-prey"
"Pseudechis australis","Leiolopisma metallicum","Snakes","skinks","Predator-prey"
"Pseudechis australis","Leiolopisma trilineatum","Snakes","skinks","Predator-prey"
"Pseudechis australis","Notomys sp.","Snakes","small mammal","Predator-prey"
"Pseudechis australis","Oedura marmorata","Snakes","skinks","Predator-prey"
"Pseudechis australis","Notoryctes caurinus","Snakes","small mammal","Predator-prey"
"Pygopus schraderi","Araneidae","skinks","insect","Predator-prey"
"Pygopus schraderi","Blattodea","skinks","insect","Predator-prey"
"Pygopus schraderi","Chilopoda","skinks","insect","Predator-prey"
"Pygopus schraderi","Coleoptera","skinks","insect","Predator-prey"
"Pygopus schraderi","Lepidoptera","skinks","insect","Predator-prey"
"Sminthopsis macroura","Araneidae","small mammal","insect","Predator-prey"
"Sminthopsis macroura","Chilopoda","small mammal","insect","Predator-prey"
"Sminthopsis macroura","Coleoptera","small mammal","insect","Predator-prey"
"Stiltia isabella","Araneidae","bird","insect","Predator-prey"
"Stiltia isabella","Blattodea","bird","insect","Predator-prey"
"Stiltia isabella","Chilopoda","bird","insect","Predator-prey"
"Stiltia isabella","Coleoptera","bird","insect","Predator-prey"
"Stiltia isabella","Lepidoptera","bird","insect","Predator-prey"
"Suta suta","Amphibolurus burnsi","Snakes","skinks","Predator-prey"
