"predator","prey","From","To","Type"
"Aspidites melanocephalus","Pogona minor","Snakes","skinks","Predator-prey"
"Aspidites melanocephalus","Pogona minor","Snakes","skinks","Predator-prey"
"Aspidites melanocephalus","Pogona vitticeps","Snakes","skinks","Predator-prey"
"Aspidites melanocephalus","Pogona vitticeps","Snakes","skinks","Predator-prey"
"Aspidites melanocephalus","Pseudechis australis","Snakes","Snakes","Predator-prey"
"Aspidites melanocephalus","Pseudechis australis","Snakes","Snakes","Predator-prey"
"Aspidites melanocephalus","Reptile eggs","Snakes","eggs","Predator-prey"
"Aspidites melanocephalus","Suta suta","Snakes","Snakes","Predator-prey"
"Aspidites melanocephalus","Taeniopygia guttata","Snakes","bird","Predator-prey"
"Aspidites melanocephalus","Tiliqua occipitalis","Snakes","skinks","Predator-prey"
"Aspidites melanocephalus","Tiliqua scincoides","Snakes","skinks","Predator-prey"
"Aspidites melanocephalus","Varanus acanthurus","Snakes","goanna","Predator-prey"
"Aspidites melanocephalus","Varanus tristis","Snakes","goanna","Predator-prey"
"Aspidites melanocephalus","Melopsittacus undulatus","Snakes","bird","Predator-prey"
"Aspidites melanocephalus","Notoryctes caurinus","Snakes","small mammal","Predator-prey"
"Aspidites melanocephalus","Ocyphaps lophotes","Snakes","bird","Predator-prey"
"Aspidites melanocephalus","Petrogale lateralis","Snakes","small mammal","Predator-prey"
"Aspidites melanocephalus","Tachyglossus aculeatus","Snakes","small mammal","Predator-prey"
"Aspidites ramsayii","Bettongia lesueur","Snakes","small mammal","Predator-prey"
"Aspidites ramsayii","Ctenophorus caudicinctus","Snakes","skinks","Predator-prey"
"Aspidites ramsayii","Ctenophorus caudicinctus","Snakes","skinks","Predator-prey"
"Aspidites ramsayii","Ctenotus isolepis","Snakes","skinks","Predator-prey"
"Aspidites ramsayii","Egernia kintorei","Snakes","skinks","Predator-prey"
"Aspidites ramsayii","Egernia striata","Snakes","skinks","Predator-prey"
"Aspidites ramsayii","Egernia striolata","Snakes","skinks","Predator-prey"
"Aspidites ramsayii","Hemiergis peronii","Snakes","skinks","Predator-prey"
"Aspidites ramsayii","Lagorchestes hirsutus","Snakes","small mammal","Predator-prey"
"Aspidites ramsayii","Leiolopisma metallicum","Snakes","skinks","Predator-prey"
"Aspidites ramsayii","Leiolopisma trilineatum","Snakes","skinks","Predator-prey"
"Aspidites ramsayii","Lerista bougainvillea","Snakes","skinks","Predator-prey"
"Aspidites ramsayii","Lophognatus gilberti","Snakes","skinks","Predator-prey"
"Aspidites ramsayii","Menetia greyii","Snakes","skinks","Predator-prey"
"Aspidites ramsayii","Morethia lineoocellatus","Snakes","skinks","Predator-prey"
"Aspidites ramsayii","Notomys sp.","Snakes","small mammal","Predator-prey"
"Aspidites ramsayii","Oedura marmorata","Snakes","skinks","Predator-prey"
"Aspidites ramsayii","Oryctolagus cuniculus","Snakes","invasive small mammal","Predator-prey"
"Aspidites ramsayii","Pogona minor","Snakes","skinks","Predator-prey"
