Species	#	Conn	Mod	*AicG	TroG	In	Out	Deg	Pos	Hmin	Hmean	Hmax	TroLev	OI	Clust	Eccen	Rank	CycTime	
*Egernia_striata	1	1	0	21	0	17	4	21	I	1	1	1	2	0	0.25	3	0.002541	285.7	
Egernia_striolata	2	1	0	21	0	17	7	24	I	1	1	1	2	0	0.1633	3	0.002986	235.6	
Ocyphaps_lophotes	3	1	0	21	0	22	7	29	I	1	1	1	2	0	0.2041	3	0.00282	180.6	
Egernia_kintorei	4	1	0	21	0	16	4	20	I	1	1	1	2	0	0.25	3	0.002541	303.6	
Leggadina_forresti	5	1	0	21	0	15	4	19	I	1	1	1	2	0	0.125	3	0.00277	318.7	
Lagorchestes_hirsutus	6	1	0	21	0	12	9	21	I	1	1	1	2	0	0.2099	3	0.003049	301.3	
Petrogale_lateralis	7	1	0	21	0	10	8	18	I	1	1	1	2	0	0.1875	3	0.002931	381.6	
Anas_superciliosa	8	1	0	21	0	5	3	8	I	1	1	1	2	0	0.5556	3	0.002472	1012	
Notomys_sp.	9	1	0	21	0	15	12	27	I	1	1	1	2	0	0.1944	3	0.003603	205.9	
Scorpionida	10	1	0	20	0	0	12	12	B	0	0	0	1	0	0.08333	4	0.005599	199.6	
Chortoicetes_terminifera	11	1	0	20	0	0	7	7	B	0	0	0	1	0	0	4	0.005079	258	
Camponotus_inflatus	12	1	0	20	0	0	11	11	B	0	0	0	1	0	0	4	0.008914	225.6	
Trigona_sp.	13	1	0	20	0	0	10	10	B	0	0	0	1	0	0	4	0.005737	216.4	
Aspidites_ramsayii	14	1	0	19	0	33	1	34	I	1	8.465	13	3.095	1.189	0	3	0.002286	225.5	
Aspidites_melanocephalus	15	1	0	19	0	32	1	33	I	1	3.16	5	3.093	0.5366	0	3	0.002286	243.7	
Antaresia_stimsoni	16	1	0	19	0	20	1	21	I	2	2.411	3	3.071	0.3476	0	3	0.002286	401.9	
Acacia_spondylophylla	17	1	0	18	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.003744	263.4	
Acacia_coriacea	18	1	0	18	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.003744	263.4	
Acacia_acradenia	19	1	0	18	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.003744	263.4	
Acacia_pruinocarpa	20	1	0	18	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.003744	263.4	
Acacia_tetragonophylla	21	1	0	18	0	0	7	7	B	0	0	0	1	0	0.08163	3	0.003675	277.8	
Acacia_kempeana	22	1	0	18	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.003744	263.4	
